词牌名,韵律
夜飞鹊,平平仄平仄，平仄平平。平仄仄仄平平。平平仄仄仄平仄，中平平仄平平。平平仄平仄，仄平平平仄，仄仄平平。平平仄仄，仄平平、中仄平平。平仄仄平平仄，平仄仄平平，平仄平平。平仄平平平仄，平平仄仄，平仄平平。仄平仄仄，仄平平、仄仄平平。仄平平平仄，平平仄仄，中仄平平。
望海潮,平平平仄，平平中仄，平平仄仄平平。『平仄仄平，平平仄仄』，平平仄仄平平。平仄仄平平。仄平仄平仄，平仄平平。仄仄平平，仄平平仄仄平平。平平（增韵）仄仄平平。仄平平仄仄，中仄平平。『平仄仄平，平平仄仄』，平平仄仄平平。平仄仄平平。仄仄平中仄，平仄平平。中仄平平仄仄，平仄仄平平。
沁园春,中仄平平，仄仄平平，仄仄仄平。仄『中平中仄，中平中仄，中平中仄，中仄平平』。中仄平平，中平中仄，中仄平平中仄平。平平仄，仄中平中仄，中仄平平。平平（增韵）中仄平平，仄中仄平平中仄平。仄『中平中仄，中平中仄，中平中仄，中仄平平』。中仄平平，中平中仄，中仄平平中仄平。平平仄，仄中平中仄，中仄平平。
多丽,仄平平，中平中仄平平。仄平平、平平仄仄，中中中仄平平。仄平平、中平中仄，中中仄、中仄平平。中仄平平，平平仄仄，仄平平仄仄平平。仄中仄、中平平仄，中仄仄平平。平平仄、中平中仄，中仄平平。仄平平、平平仄仄，仄中平仄平平。仄平平、仄平仄仄，中中中、平仄平平。中仄平平，中平仄仄，中平平仄仄平平。仄中仄、中平中仄，平仄仄平平。平平仄、中平中仄，中仄平平。
六州歌头,平平中仄，中仄仄平平。平中仄，平平仄，仄平平。仄平平。中仄中平仄，中平仄，平中仄，中中仄，平中仄，仄平平。中仄中平，中仄平平仄，中仄平平。仄中平中仄，中仄仄平平。中仄平平，仄平平。仄平平仄，中平仄，平中仄，仄平平。中中仄，平中仄，仄平平。仄平平。中仄平平仄，中中仄，仄平平。平中仄，平中仄，仄平平。中仄中平中仄，中平仄、中仄平平。仄中平中仄，中仄仄平平。中仄平平。
如梦令,中仄中平平仄，中仄中平平仄。中仄仄平平，中仄仄平平仄。平仄，〖平仄〗，中仄仄平平仄。
归自谣,平仄仄，中仄中平平仄仄，中平中仄平平仄。平平中仄平中仄。平平仄，中平中仄平平仄。
天仙子,中仄中平平仄仄，仄平平仄平平仄。平平中仄仄平平，平仄仄，仄平仄，仄仄中平平仄仄。
生查子,中仄仄平平，中仄平平仄。中仄仄平平，中仄平平仄。中仄仄平平，中仄平平仄。中仄仄平平，中仄平平仄。
醉花间,平平仄，仄平〖仄〗，平仄平平仄。平仄仄平平，仄仄平平仄。平平平仄仄，仄仄平平仄。平平仄仄平，平仄平平仄。
点绛唇,中仄平平，中平中仄（增韵）平平仄。仄平平仄，中仄平平仄。中仄平平，中仄平平仄。平中仄，仄平平仄，中仄平平仄。
霜天晓角,中平中仄，中仄平平仄。平仄仄平平仄，中中仄、平平仄。中平平仄仄，中平平仄仄。平仄仄平平仄，中中仄、平平仄。
伤春怨,仄仄平平仄。仄仄平平平仄。仄仄仄平平，仄仄平平平仄。仄平平平仄。仄仄平平仄。仄仄仄平平，仄仄仄、平平仄。
卜算子,中仄仄平平，中仄平平仄。中仄平平仄仄平，中仄平平仄。中仄仄平平，中仄平平仄。中仄平平仄仄平，中仄平平仄。
谒金门,平中仄，平仄仄平平仄。中仄中平平仄仄，仄平平仄仄。中仄中平中仄，中仄中平平仄。中仄中平平仄仄，仄平平仄仄。
好事近,中仄仄平平，中仄仄平平仄。中仄仄平平仄，仄中平平仄。中平中仄仄平平，中中仄平仄。中仄仄平平仄，仄中平平仄。
忆少年,平平中仄，平平仄仄，平平平仄。平平仄中仄，仄平平平仄。仄仄平平平仄仄，仄平平、仄平平仄。平平仄平仄，仄平平中仄。
忆秦娥,平中仄，中平中仄平平仄。〖平平仄〗，中平中仄，仄平平仄。中平中仄平平仄，中平中仄平平仄。〖平平仄〗，中平中仄，仄平平仄。
烛影摇红,仄仄平平，仄仄平，仄仄平、平平仄。平平平仄仄平平，平仄平平仄。平仄平平仄仄，仄平平、平平仄仄。仄平平仄，仄仄平平，平平平仄。
醉花阴,中仄中平平仄仄，中仄平平仄。中仄仄平平，中仄平平，中仄平平仄。中平中仄平平仄，仄仄平平仄。中仄仄平平，中仄平平，中仄平平仄。
望江东,平仄平平仄平仄，仄中仄、平平仄。中平中仄仄平仄，仄仄仄、平平仄。平平仄仄平平仄，仄中仄、平平仄。中平中仄仄平仄，仄中仄、平平仄。
木兰花,仄仄仄平平仄仄，平仄仄平平仄仄。平仄仄，仄平平，仄仄仄平平仄仄。仄仄仄平平仄仄，平仄仄平平仄仄。平平仄仄仄平平，平仄仄平平仄仄。
鹊桥仙,中平中仄（增韵），中平中仄（增韵），中仄中平中仄。中平中仄仄平平，仄中仄、平平中仄。中平中仄（增韵），中平中仄（增韵），中仄中平中仄。中平中仄仄平平，仄中仄、平平中仄。
夜游宫,仄仄平平仄仄，仄中仄、中平平仄。中仄平平仄中仄。仄平平，仄平平，平仄仄。仄仄平平仄，仄中仄、中平平仄。中仄平平仄中仄。仄平平，仄平平，平仄仄。
踏莎行,『中仄平平，中平中仄』，中平中仄平平仄。中平中仄仄平平，中平中仄平平仄。『中仄平平，中平中仄』，中平中仄平平仄。中平中仄仄平平，中平中仄平平仄。
钗头凤,平平仄，平平仄，仄平平仄平平仄。平平仄，平平仄，中平平仄，仄平平仄。仄，〖仄〗，〖仄〗。平平仄，平平仄，仄平平仄平平仄。平平仄，平平仄，中平平仄，仄平平仄。仄，〖仄〗，〖仄〗。
蝶恋花,中仄中平平仄仄。中仄平平，中仄平平仄。中仄中平平仄仄，中平中仄平平仄。中仄中平平仄仄。中仄平平，中仄平平仄。中仄中平平仄仄，中平中仄平平仄。
渔家傲,中仄中平平仄仄，中平中仄平平仄。中仄中平平仄仄。平中仄，中平中仄平平仄。中仄中平平仄仄，中平中仄平平仄。中仄中平平仄仄。平中仄，中平中仄平平仄。
苏幕遮,仄平平，平仄仄。中仄平平，中仄平平仄。中仄平平平仄仄。中仄平平，中仄平平仄。仄平平，平仄仄。中仄平平，中仄平平仄。中仄平平平仄仄。中仄平平，中仄平平仄。
淡黄柳,平平仄仄，平仄平平仄。仄仄平平平仄仄。仄仄平平仄仄，平仄平平仄平仄。仄平仄，平平仄平仄。仄平仄，仄平仄。仄平平仄仄平平仄。仄仄平平，仄平平仄，平仄平平仄仄。
锦缠道,仄仄平平，仄仄仄平平仄。仄平平、仄平平仄。仄平平仄平平仄。仄仄平平，仄仄平平仄。仄平平仄平，仄平平仄。仄平平、仄平平仄。仄平平、平仄平平，仄仄平平仄，仄仄平平仄。
酷相思,仄仄平平平仄仄。仄中仄、平平仄。仄平仄平平平仄仄。中仄仄、平平仄。〖中仄仄、平平仄〗。仄仄平平平仄仄。仄中仄、平平仄。仄平仄平平平仄仄。中仄仄、平平仄。〖中仄仄、平平仄〗。
解佩令,平平中仄，平平中仄，仄平平、平平平仄。仄仄平平，仄仄中、中平平仄。仄平平、仄平仄仄。平平中仄，平平中仄，仄平平、平平平仄。仄仄平平，仄仄中、中平平仄。仄平平、仄平仄仄。
青玉案,中平中仄平平仄，仄中仄、平平仄。仄仄平平平仄仄。中平平仄，中平中仄，中仄平平仄。中平中仄平平仄，中仄平平仄平仄。仄仄平平平仄仄。中平平仄，中平中仄，中仄平平仄。
千秋岁,仄平平仄，平仄平平仄。平仄仄，平平仄。平平平仄仄，平仄平平仄。平仄仄，仄平仄仄平平仄。仄仄平平仄，平仄平平仄。平仄仄，平平仄。仄平平仄仄，仄仄平平仄。平仄仄，仄平仄仄平平仄。
离亭燕,中仄中平平仄，平仄仄平平仄。中仄仄平平仄仄，仄仄中平平仄。仄仄仄平平，中仄中平平仄。中仄中平平仄，平仄仄平平仄。中仄仄平平仄仄，仄仄中平平仄。仄仄仄平平，中仄中平平仄。
粉蝶儿,仄仄平平仄平仄平仄仄，仄平平、仄平平仄。仄平平、仄仄仄、仄平平仄。仄平平、平仄仄平平仄。平平平仄平仄仄仄平仄。仄平平、仄平平仄。仄平平、平仄仄、仄平平仄。仄平平、平仄仄平平仄。
御街行,平平仄仄平平仄。仄仄仄、平平仄。平平平仄仄平平，平仄平平平仄。平平中仄，中平平仄，平仄平平仄。平平仄仄平平仄。仄仄仄、平平仄。平平平仄仄平平，平仄平平平仄。平平中仄，中平平仄，平仄ˇ平平仄。
祝英台近,仄平平，平仄仄，平仄仄平仄。中仄平平，中仄仄平仄。中平中仄平平，中平中仄，仄中仄、中平平仄。仄平仄，中中平仄平平，中平仄平仄。中仄平平，中中仄平仄。中平中仄平平，中平中仄，仄中仄、中平平仄。
蓦山溪,平平中仄，中仄平平仄。中仄仄平平，仄中中、平平中仄。仄平平仄，中仄仄平平，平仄仄。平仄仄，中仄平平仄。平平中仄，中仄平平仄。中仄仄平平，仄中中、平平中仄。仄平平仄，中仄仄平平，平仄仄，平仄仄。中仄平平仄。
洞仙歌,中平中仄，仄中平平仄。中仄平平仄平仄。仄平平、中仄平仄平平，平中仄、中仄平平中仄。中平平仄仄，中仄平平，中仄平平仄平仄。仄仄仄平平，仄仄平平，平中仄、中平中仄。仄中仄平平仄平平，仄仄仄平平，仄平平仄。
惜红衣,仄仄平平，平平仄仄，仄平平仄。仄仄平平，平平仄平仄。平平仄仄，平仄仄、平平平仄。平仄。平仄仄平，仄平平平仄。平平仄仄，平仄平平，平平仄平仄。平平仄仄仄仄，仄平仄。仄仄仄平平仄，仄仄仄平平仄。仄仄平平仄，平仄仄平平仄。
法曲献仙音,平仄平平，仄平平仄，仄仄平平平仄。仄仄平平，仄平平仄，平平仄仄平仄。仄仄仄平平仄，平平仄平仄。仄平仄，仄平平、仄平平仄。平仄仄、平仄仄平平仄。仄仄仄平平，仄平平、平仄平仄。仄仄平平，仄平平、仄仄仄仄。仄平平平仄，仄仄平平平仄。
满江红,中仄平平，平中仄、中平中仄。平仄仄、仄平平仄，仄平中仄。中仄中平平仄仄，中平中仄平平仄。中中中、中仄仄平平，平平仄。中中仄，平仄仄。平仄仄，平平仄。仄平平中仄，仄平平仄。中仄中平平仄仄，中平中仄平平仄。中中中、中仄仄平平，平平仄。
天香,中仄平平，平平仄仄，仄仄平平平仄。仄仄平平，平平中仄，仄仄平平平仄。仄平平仄，平仄仄、仄平平仄。平仄平平仄仄，平平仄平平仄。平平仄平仄仄。仄平平、仄平平仄。平仄平平仄仄，仄平平仄。平仄平平仄仄。仄平仄、平平仄平仄。仄仄平平，平平仄仄。
声声慢,平平仄仄，仄仄平平，平平仄仄仄仄。仄仄平平平仄，仄平平仄。平平仄仄仄仄，仄仄平、仄平平仄。仄仄仄，仄平平、仄仄仄平平仄。仄仄平平平仄，平仄仄、平平仄平平仄。仄仄平平，仄仄仄平仄仄。平平仄平仄仄，仄平平、仄仄仄仄。仄仄仄，仄仄仄平仄仄仄。
黄莺儿,平平平仄平平仄。仄仄平平，平仄平平，平平平平，仄平平仄。平仄仄仄平平，仄仄平平仄。仄平平仄平平，仄仄平平平仄平仄。平仄，仄仄仄平平，仄仄平平仄。仄平平仄，仄仄平平，平平仄平平仄。平仄仄仄平平，仄仄平平仄。仄仄仄仄平平，平仄平平仄。
剑器近,仄平仄，仄仄仄、平平平仄。仄平仄平平仄，仄平仄。仄平仄，仄仄仄、平平仄仄。平平仄平平仄，仄平仄。平仄，仄平平仄仄。平平仄仄，仄仄仄、仄仄平平仄。平平平仄仄平平，仄平平仄平，仄平平仄平仄。仄平平仄，仄仄平平，仄仄平平仄仄。仄平仄仄平平仄。
醉蓬莱,仄平平仄仄，仄仄平平，仄平平仄。仄仄平平，仄平平平仄。仄仄平平，仄平平仄，仄仄平平仄。仄仄平平，平平仄仄，仄平平仄。仄仄平平，仄平平仄，仄仄平平，仄平平仄。平仄平平，仄仄平平仄。仄仄平平，仄仄平仄，仄仄平平仄。仄仄平平，平平平仄，仄平平仄。
暗香,仄平仄仄，仄仄平仄仄，平平平仄。仄仄仄平，仄仄平平仄平仄。平仄平平仄仄，平仄仄、平平平仄。仄仄仄、仄仄平平，平仄仄平仄。平仄，仄仄仄。仄仄仄仄平，仄仄平仄。仄平仄仄，平仄平平仄平仄。平仄平平仄仄，平仄仄、平平平仄。仄仄仄、平仄仄，仄平仄仄。
长亭怨慢,去平仄、平平平仄。仄仄平平，仄平平仄。『仄仄平平，仄平平仄』，去平仄。仄平平仄，平仄仄、平平仄。仄仄仄平平，仄仄仄、平平平仄。仄仄，去平平仄仄，仄仄仄平平仄。平平仄仄，仄仄仄、仄平平仄。仄仄仄、仄仄平平，去平仄、平平平仄。去仄仄平平，平仄平平平仄。
双双燕,仄平仄仄，仄平仄平平，仄平平仄。平平仄仄，仄仄仄平平仄。平仄平平仄仄，仄仄仄、平平仄仄。平平仄仄平平，仄仄平平平仄。平仄，平平仄仄。仄仄仄平平，仄平平仄。平平平仄，仄仄仄平平仄。平仄平平仄仄，仄仄仄、平平平仄。平仄仄仄平平，仄仄仄平仄仄。
