词牌名,韵律,中,平,仄,总数,分段字数
凤凰台上忆吹箫,平仄平平，仄平平仄，仄平平仄平平。仄仄平平仄，仄仄平平。平仄平平仄仄，平仄仄、仄仄平平。平平仄，平平仄仄，仄仄平平。平平，仄平仄仄，平仄仄平平，仄仄平平。仄仄平平仄，平仄平平。平仄平平平仄，平仄仄、平仄平平。平平仄，平平仄平，仄仄平平。,0,53,42,95,"[4, 4, 6, 5, 4, 6, 3, 4, 3, 4, 4, 2, 4, 5, 4, 5, 4, 6, 3, 4, 3, 4, 4]"
汉宫春,中仄平平，仄中平中仄，中仄平平。中平中仄，仄中中仄平平。平平仄仄，仄平平、中仄平平。平仄仄、平平中仄，中平中仄平平。中仄中平平仄，仄平平仄仄，中仄平平。平平仄平仄仄，中仄平平。平平仄仄，仄平平、中仄平平。平仄仄、平平中仄，中平中仄平平。,20,43,33,96,"[4, 5, 4, 4, 6, 4, 3, 4, 3, 4, 6, 6, 5, 4, 6, 4, 4, 3, 4, 3, 4, 6]"
八声甘州,仄中平仄仄仄平平，中中仄平平。仄平平中仄，中平中仄，中仄平平。中仄平平中仄，中仄仄平平。中仄平平仄，中仄平平。中仄中平中仄，仄中平中仄，中仄平平。仄平平中仄，中仄仄平平。仄平平、中平平仄，仄中平、中仄仄平平。平平仄、仄平平仄，中仄平平。,24,39,34,97,"[8, 5, 5, 4, 4, 6, 5, 5, 4, 6, 5, 4, 5, 5, 3, 4, 3, 5, 3, 4, 4]"
扬州慢,平仄平平，仄平平仄，仄平仄仄平平。仄平平仄仄，仄仄仄平平。仄平仄、平平仄仄，仄平平仄，平仄平平。仄平平、平仄平平，平仄平平。仄平仄仄，仄平平、平仄平平。仄仄仄平平，平平仄仄，平仄平平。仄仄仄平平仄，平平仄、仄仄平平。仄平平平仄，平平平仄平平。,0,55,43,98,"[4, 4, 6, 5, 5, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 5, 4, 4, 6, 3, 4, 5, 6]"
高阳台,中仄平平，平平仄仄，中平中仄平平。中仄平平，中平中仄平平。中平中仄平平仄，仄中平、中仄平平。仄平平（增韵）、中仄平平，中仄平平。平平仄仄平平仄，仄平平中仄，中仄平平。中仄平平，中平中仄平平。中平中仄平平仄，仄中平、中仄平平。仄平平（增韵）、中仄平平，中仄平平。,23,49,28,100,"[4, 4, 6, 4, 6, 7, 3, 4, 3, 4, 4, 7, 5, 4, 4, 6, 7, 3, 4, 3, 4, 4]"
锦堂春慢,平仄平平，平平仄仄，平平仄仄平平。仄仄平平，平仄仄仄平平。仄仄仄平平仄，仄仄平仄平平。仄仄平仄仄，仄仄平平，平仄平平。仄平平平平仄，仄平平仄仄，仄仄平平。平仄平平平仄，仄仄平平。仄仄平平仄仄，仄仄仄、平仄平平。仄仄平平仄仄，平仄平平，仄仄平平。,0,51,50,101,"[4, 4, 6, 4, 6, 6, 6, 5, 4, 4, 6, 5, 4, 6, 4, 6, 3, 4, 6, 4, 4]"
寿楼春,平平平平平。仄平平仄仄，平仄平平。仄仄平平平仄，仄平平平。平仄仄，平平平。仄仄平、平平平平。仄仄仄平平，平平仄仄，平仄仄平平。平平仄，平平平。仄平平仄仄，平仄平平。仄仄平平平仄，仄平平平。平仄仄，平平平。仄仄平、平平平平。仄平仄平平，平平仄仄平仄平。,0,64,37,101,"[5, 5, 4, 6, 4, 3, 3, 3, 4, 5, 4, 5, 3, 3, 5, 4, 6, 4, 3, 3, 3, 4, 5, 7]"
忆旧游,仄平平仄仄，仄仄平平，平仄平平。仄仄平平仄，仄平平仄仄，仄仄平平。仄平仄仄平仄，平仄仄平平。仄仄仄平平，平平仄仄，仄仄平平。平平，仄平仄，仄仄仄平平，平仄平平。仄仄平平仄，仄平平平仄，平仄平平。仄平仄仄平仄，平仄仄平平。仄仄仄平平，平平仄仄平仄平。,0,51,51,102,"[5, 4, 4, 5, 5, 4, 6, 5, 5, 4, 4, 2, 3, 5, 4, 5, 5, 4, 6, 5, 5, 7]"
夜飞鹊,平平仄平仄，平仄平平。平仄仄仄平平。平平仄仄仄平仄，中平平仄平平。平平仄平仄，仄平平平仄，仄仄平平。平平仄仄，仄平平、中仄平平。平仄仄平平仄，平仄仄平平，平仄平平。平仄平平平仄，平平仄仄，平仄平平。仄平仄仄，仄平平、仄仄平平。仄平平平仄，平平仄仄，中仄平平。,3,60,43,106,"[5, 4, 6, 7, 6, 5, 5, 4, 4, 3, 4, 6, 5, 4, 6, 4, 4, 4, 3, 4, 5, 4, 4]"
望海潮,平平平仄，平平中仄，平平仄仄平平。『平仄仄平，平平仄仄』，平平仄仄平平。平仄仄平平。仄平仄平仄，平仄平平。仄仄平平，仄平平仄仄平平。平平（增韵）仄仄平平。仄平平仄仄，中仄平平。『平仄仄平，平平仄仄』，平平仄仄平平。平仄仄平平。仄仄平中仄，平仄平平。中仄平平仄仄，平仄仄平平。,4,59,44,107,"[4, 4, 6, 4, 4, 6, 5, 5, 4, 4, 7, 6, 5, 4, 4, 4, 6, 5, 5, 4, 6, 5]"
沁园春,中仄平平，仄仄平平，仄仄仄平。仄『中平中仄，中平中仄，中平中仄，中仄平平』。中仄平平，中平中仄，中仄平平中仄平。平平仄，仄中平中仄，中仄平平。平平（增韵）中仄平平，仄中仄平平中仄平。仄『中平中仄，中平中仄，中平中仄，中仄平平』。中仄平平，中平中仄，中仄平平中仄平。平平仄，仄中平中仄，中仄平平。,34,44,36,114,"[4, 4, 4, 5, 4, 4, 4, 4, 4, 7, 3, 5, 4, 6, 8, 5, 4, 4, 4, 4, 4, 7, 3, 5, 4]"
