词牌名,作者,韵脚
梦仙郎,张先,"[4,8,15,20,25,31,35,42,47,52]"
青门引,张先,"[5,11,27,34,39,52]"
菊花新,张先,"[7,14,26,33,40,52]"
醉红妆,张先,"[7,13,20,26,33,39,52]"
思远人,晏几道,"[12,26,33,38,52]"
醉花阴,毛滂,"[7,12,26,33,38,52]"
望江东,黄庭坚,"[7,13,20,26,33,39,46,52]"
入塞,好思量,"[3,9,19,22,35,42,49,52]"
品令,曹组,"[3,12,26,38,52]"
引驾行,晁补之,"[11,23,25,37,50,52]"
玉团儿,周邦彦,"[7,14,26,33,40,52]"
倾杯令,吕渭老,"[14,20,26,33,40,52]"
锯解令,杨无咎,"[14,28,32,38,52]"
双雁儿,杨无咎,"[7,13,20,26,33,39,46,52]"
寻芳草,辛弃疾,"[5,12,20,26,38,46,52]"
恨来迟,王灼,"[12,25,33,39,52]"
珍珠令,张炎,"[7,10,17,27,34,41,53]"
寿延长破字令,无名氏,"[7,12,19,26,33,38,45,52]"
献天寿令,无名氏,"[12,19,25,39,46,52]"
折花令,无名氏,"[11,17,26,37,43,52]"
红窗听,晏殊,"[7,14,26,33,44,53]"
上林春令,毛滂,"[6,13,26,33,40,53]"
红窗迥,周邦彦,"[6,15,21,26,42,48,53]"
红罗袄,周邦彦,"[10,27,34,40,45,53]"
折桂令,倪瓒,"[7,15,27,42,46,54]"
荔子丹,无名氏,"[7,12,27,34,39,53]"
临江仙,和凝,"[13,20,27,40,47,54]"
浪淘沙令,南唐李煜,"[5,9,16,27,32,36,43,54]"
金错刀,冯延巳,"[6,13,27,33,40,54]"
端正好,杜安世,"[7,14,21,27,34,41,48,54]"
杏花天,朱敦儒,"[7,14,21,27,34,41,48,54]"
天下乐,杨无咎,"[7,13,20,27,35,41,48,54]"
恋绣衾,朱敦儒,"[7,14,27,41,54]"
撷芳词,无名氏,"[3,6,13,16,19,27,30,33,40,43,46,54]"
鬓边华,无名氏,"[6,13,27,40,54]"
玉楼人,无名氏,"[7,14,27,34,41,54]"
江月晃重山,陆游,"[12,19,27,39,46,54]"
南乡一剪梅,虞集,"[5,12,23,33,40,51]"
一七令,白居易,"[4,10,18,28,40,54]"
河传,温庭筠,"[2,4,7,13,20,22,27,34,37,42,45,48,50,55]"
望远行,南唐李璟,"[7,14,21,28,34,41,48,55]"
木兰花令,韦庄,"[7,14,27,34,41,55]"
金莲绕凤楼,宋徽宗,"[7,14,21,28,34,41,48,55]"
睿恩新,晏殊,"[7,14,28,34,41,55]"
芳草渡,欧阳修,"[6,12,19,28,31,34,40,46,49,52,55]"
夜行船,欧阳修,"[6,13,27,34,41,55]"
金凤钩,晁补之,"[6,13,27,34,41,49,55]"
鹧鸪天,晏几道,"[7,14,28,34,41,55]"
鼓笛令,黄庭坚,"[7,14,21,28,34,41,48,55]"
徵召调中腔,王安中,"[7,14,27,34,41,55]"
虞美人,南唐李煜,"[7,12,19,28,35,40,47,56]"
瑞鹧鸪,冯延巳,"[7,14,28,42,56]"
玉楼春,顾夐,"[7,14,28,35,42,56]"
凤衔杯,晏殊,"[7,14,23,29,35,42,51,56]"
鹊桥仙,欧阳修,"[14,28,42,56]"
玉阑干,杜安世,"[7,14,28,35,42,56]"
思归乐,柳永,"[7,14,21,28,35,42,49,56]"
遍地锦,毛滂,"[7,14,28,42,56]"
翻香令,苏轼,"[7,14,28,35,42,56]"
茶瓶儿,李元膺,"[7,14,19,28,35,42,47,51,56]"
柳摇金,沈会宗,"[7,14,21,28,42,49,56]"
卓牌子,杨无咎,"[5,12,28,33,40,56]"
清江曲,苏庠,"[7,14,28,35,42,56]"
楼上曲,张元幹,"[7,14,21,28,35,42,49,56]"
厅前柳,赵师侠,"[3,12,21,24,35,47,53]"
二色宫桃,无名氏,"[7,14,28,35,42,56]"
市桥柳,蜀妓,"[7,13,27,34,43,56]"
一斛珠,南唐李煜,"[4,11,18,27,34,41,48,57]"
夜游宫,毛滂,"[6,13,20,29,34,41,48,57]"
梅花引,贺铸,"[3,6,13,16,19,28,35,42,45,60]"
荷叶铺水面,康与之,"[9,16,28,33,44,49,57]"
家山好,无名氏,"[7,13,23,29,41,52,57]"
步虚子令,碧云笼晓海波闲,"[7,12,22,28,41,51,57]"
小重山,薛昭蕴,"[7,15,22,30,35,43,50,58]"
踏莎行,晏殊,"[8,15,29,37,44,58]"
宜男草,范成大,"[7,14,29,36,43,58]"
花上月令,吴文英,"[7,13,23,29,42,52,58]"
倚西楼,韦彦温,"[7,14,28,42,58]"
扫地舞,无名氏,"[3,16,19,22,29,32,35,48,51,54,61,64]"
接贤宾,毛文锡,"[7,12,22,35,48,59]"
步蟾宫,黄庭坚,"[7,14,29,36,43,59]"
恨春迟,张先,"[14,29,43,59]"
冉冉云,卢炳,"[7,14,23,30,37,44,53,59]"
蝶恋花,冯延巳,"[7,16,23,30,37,46,53,60]"
寿山曲,冯延巳,"[12,24,36,48,60]"
秋蕊香引,柳永,"[3,17,29,38,41,50,60]"
惜琼花,张先,"[3,6,15,22,30,36,41,45,52,60]"
朝玉阶,杜安世,"[7,15,22,30,37,45,52,60]"
散天花,舒亶,"[7,15,22,30,37,45,52,60]"
荷华媚,苏轼,"[5,14,28,45,60]"
少年心,黄庭坚,"[6,13,23,36,43,52]"
七娘子,毛滂,"[7,15,23,30,37,45,53,60]"
一剪梅,周邦彦,"[7,15,30,37,45,60]"
寻梅,沈会宗,"[7,14,21,30,37,44,51,60]"
锦帐春,辛弃疾,"[8,15,26,30,38,45,51,56,60]"
唐多令,刘过,"[5,10,17,30,35,40,47,60]"
摊破采桑子,赵长卿,"[11,15,22,28,39,43,50]"
后庭宴,无名氏,"[8,15,29,41,45,50,60]"
鞓红,无名氏,"[8,15,23,30,38,45,53,60]"
贺熙朝,欧阳炯,"[7,11,15,27,31,38,48,53,61]"
拨棹子,尹鹗,"[3,6,13,20,30,37,44,51,61]"
玉堂春,晏殊,"[4,10,18,34,45,61]"
系裙腰,张先,"[7,13,24,30,43,54,61]"
赞成功,毛文锡,"[8,15,23,31,39,46,54,62]"
定风波,欧阳炯,"[7,14,21,23,30,37,39,46,53,55,62]"
破阵子,晏殊,"[12,26,31,43,57,62]"
金蕉叶,柳永,"[7,14,25,31,38,45,56,62]"
渔家傲,晏殊,"[7,14,21,24,31,38,45,52,55,62]"
苏幕遮,范仲淹,"[6,15,22,31,37,46,53,62]"
摊破南乡子,程垓,"[5,12,31,36,43,62]"
明月逐人来,李持正,"[4,8,15,24,30,40,47,56,62]"
甘州遍,毛文锡,"[8,11,26,32,43,51,54,63]"
别怨,赵长卿,"[4,11,23,30,42,52,63]"
麦秀两岐,和凝,"[5,10,16,21,28,32,37,42,48,53,60,64]"
献衷心,欧阳炯,"[9,15,24,33,39,46,55,64]"
黄钟乐,魏承班,"[7,18,32,39,50,64]"
醉春风,赵德仁,"[5,10,20,32,37,42,52,64]"
握金钗,吕渭老,"[10,16,23,32,42,48,55,64]"
侍香金童,无名氏,"[9,16,23,31,41,49,56,64]"
缑山月,梁寅,"[5,10,17,31,43,50,64]"
喝火令,黄庭坚,"[10,17,28,38,45,54,65]"
芭蕉雨,程垓,"[6,14,20,30,36,41,49,65]"
淡黄柳,姜夔,"[4,9,16,22,29,32,37,43,51,65]"
滚绣球,赵长卿,"[12,32,38,45,65]"
锦缠道,宋祁,"[10,17,24,33,42,49,66]"
厌金杯,贺铸,"[8,15,27,33,41,48,60,66]"
庆春泽,张先,"[6,15,24,33,39,48,57,66]"
行香子,晁补之,"[8,15,23,33,48,56,66]"
酷相思,程垓,"[7,13,21,27,33,40,46,54,60,66]"
解佩令,晏几道,"[8,15,26,33,48,59,66]"
垂丝钓,周邦彦,"[4,10,18,21,26,29,34,44,48,53,58,61,66]"
谢池春,陆游,"[10,17,26,33,43,50,59,66]"
胜胜令,曹勋,"[8,15,25,32,42,49,59,66]"
玉梅令,姜夔,"[4,9,16,33,42,49,66]"
青玉案,贺铸,"[7,13,20,28,33,40,47,54,62,67]"
感皇恩,毛滂,"[9,16,26,34,42,49,59,67]"
钿带长中腔,万俟咏,"[3,6,12,20,29,35,45,52,61,67]"
梦行云,吴文英,"[5,8,11,20,32,46,55,67]"
三奠子,王恽,"[9,15,25,34,42,48,58,67]"
凤凰阁,柳永,"[10,17,27,34,44,51,61,68]"
看花回,柳永,"[7,11,25,34,41,45,59,68]"
殢人娇,晏殊,"[10,17,26,35,43,50,59,68]"
两同心,柳永,"[8,22,33,39,43,57,68]"
拾翠羽,张孝祥,"[10,17,25,34,44,51,59,68]"
连理枝,李白,"[5,10,22,35,40,45,57,70]"
月上海棠,无名氏,"[7,15,26,35,42,50,61,70]"
惜黄花,史达祖,"[4,8,18,28,35,39,43,53,63,70]"
且坐令,韩玉,"[3,8,15,20,32,39,45,52,58,65,70]"
佳人醉,柳永,"[6,12,17,25,36,39,47,58,61,65,71]"
西施,柳永,"[7,12,21,35,48,57,71]"
