词牌名,作者,韵脚
天仙子,张先,"[7,14,24,27,34,41,48,58,61,68]"
风流子,周邦彦,"[13,30,43,59,73,83,100,110]"
风流子,张耒,"[13,30,43,59,73,83,100,110]"
风流子,王之道,"[13,30,43,60,74,84,101,111]"
风流子,王千秋,"[13,30,43,59,73,83,100,110]"
风流子,周邦彦,"[5,30,42,58,72,82,99,109]"
风流子,吴文英,"[5,13,30,42,58,72,82,99,109]"
风流子,贺铸,"[5,13,29,42,58,63,72,82,98,108]"
风流子,吴激,"[5,13,30,43,59,64,74,84,101,111]"
定西番,温庭筠,"[1]"
定西番,韦庄,"[1]"
定西番,孙光宪,"[12,15,26,35]"
定西番,张先,"[12,21,32,41]"
江城子,欧阳炯,"[7,10,13,22,36]"
江城子,牛峤,"[7,12,15,24,37]"
江城子,尹鹗,"[6,11,14,23,36]"
江城子,苏轼,"[7,10,13,22,35,42,45,48,57,70]"
长相思,白居易,"[3,6,16,21,27,37,42]"
长相思,晏几道,"[3,13,18,21,31,36]"
长相思,欧阳修,"[3,6,13,18,21,24,31,36]"
长相思,刘光祖,"[1]"
思帝乡,韦庄,"[3,8,17,26,34]"
思帝乡,韦庄,"[6,15,24,33]"
相见欢,杨无咎,"[6,9,18,27,36]"
相见欢,蔡伸,"[6,9,18,27,36]"
相见欢,张镃,"[6,9,18,27,36]"
相见欢,吴文英,"[6,9,18,24,27,36]"
河满子,和凝,"[12,25,37]"
河满子,尹鹗,"[12,24,36,48,61,73]"
河满子,毛熙震,"[12,25,37,49,62,74]"
河满子,毛滂,"[6,12,25,37,43,49,62,74]"
望梅花,孙光宪,"[7,21,26,33,38]"
望梅花,蒲宗孟,"[4,10,18,22,29,35,39,45,53,57,64,70]"
望梅花,蒲宗孟,"[4,10,23,36,40,46,59,72]"
望梅花,张雨,"[6,13,27,30,41,47,54,68,71,82]"
醉太平,辛弃疾,"[4,8,15,20,27,33,40,45]"
醉太平,无名氏,"[4,8,15,20,51,56]"
上行杯,孙光宪,"[6,13,20,24,30,32,35,39]"
上行杯,韦庄,"[6,13,20,26,33,35,41]"
感恩多,牛峤,"[5,10,15,18,28,45]"
春光好,和凝,"[6,9,16,19,31,41]"
春光好,欧阳炯,"[6,9,19,31,41]"
春光好,张元幹,"[6,9,19,25,31,41]"
春光好,晏几道,"[6,9,19,25,32,42]"
春光好,无名氏,"[6,9,19,25,32,42]"
春光好,蔡伸,"[6,9,19,25,32,43]"
春光好,无名氏,"[6,13,24,30,37,48]"
酒泉子,孙光宪,"[1]"
酒泉子,温庭筠,"[1]"
酒泉子,韦庄,"[1]"
酒泉子,李珣,"[1]"
酒泉子,顾夐,"[1]"
酒泉子,温庭筠,"[11]"
酒泉子,张泌,"[1]"
酒泉子,顾夐,"[111]"
酒泉子,顾夐,"[1111]"
酒泉子,冯延巳,"[1]"
酒泉子,冯延巳,"[11]"
酒泉子,司空图,"[1]"
酒泉子,顾夐,"[11111]"
酒泉子,牛峤,"[14,20,57]"
酒泉子,顾夐,"[1111111]"
酒泉子,张泌,"[17,20,27,40,43]"
酒泉子,毛文锡,"[18,21,28,42,45]"
酒泉子,李珣,"[17,20,27,43]"
酒泉子,冯延巳,"[4,20,27,42]"
酒泉子,顾夐,"[18,21,28,40,43]"
酒泉子,李珣,"[17,20,26,39,42]"
怨回纥,无名氏,"[7,14,28,40]"
生查子,刘侍读,"[10,20,25,30,40]"
生查子,牛希济,"[10,20,26,31,41]"
生查子,孙光宪,"[10,20,32,42]"
生查子,张泌,"[6,11,21,27,32,42]"
添声杨柳枝,贺铸,"[7,10,17,20,30,37,40]"
添声杨柳枝,朱敦儒,"[13,16,19,22,29,32]"
醉公子,尹鹗,"[5,10,15,20,25,30,35,40]"
醉公子,顾夐,"[5,10,35,40]"
醉公子,史达祖,"[5,13,25,28,39,53,60,68,80,83,94,106]"
昭君怨,蔡伸,"[6,12,17,20,25,31,36,39]"
昭君怨,周紫芝,"[6,12,17,20,23,26,32,37,40]"
玉蝴蝶,孙光宪,"[6,11,16,21,40,45,50]"
玉蝴蝶,柳永,"[14,24,38,41,49,51,63,74,88,91,99]"
玉蝴蝶,李之仪,"[14,24,38,41,49,51,63,73,87,90,98]"
玉蝴蝶,张炎,"[14,24,38,41,49,63,74,88,91,99]"
玉蝴蝶,辛弃疾,"[14,24,38,41,49,51,63,74,88,91,99]"
女冠子,康与之,"[4,10,14,26,39,51,59,69,73,82,95,107]"
女冠子,李邴,"[4,10,14,26,41,54,61,71,75,84,97,110]"
女冠子,柳永,"[4,11,18,31,41,54,76,87,98,111]"
女冠子,蒋捷,"[4,10,26,31,41,54,61,71,75,84,89,99,112]"
女冠子,柳永,"[4,10,17,29,35,42,54,71,88,94,101,113]"
女冠子,无名氏,"[4,11,53,65,73,83,87,98,111,124]"
中兴乐,牛希济,"[7,13,21,27,30,42]"
中兴乐,李珣,"[7,13,21,27,30,42,49,55,63,69,72,84]"
纱窗恨,毛文锡,"[1]"
醉花间,毛文锡,"[3,14,24,34,44]"
醉花间,冯延巳,"[7,12,22,27,32,37,50]"
点绛唇,苏轼,"[8,11,15,20,29,32,36,41]"
点绛唇,韩琦,"[12,16,21,31,34,38,43]"
平湖乐,张可久,"[7,32,67]"
平湖乐,王恽,"[7,32,58]"
归国遥,韦庄,"[3,10,16,21,27,32,38,43]"
归国遥,颜奎,"[4,9,15,20,26,31,37,42]"
浣溪沙,薛昭蕴,"[14,21,35,42]"
浣溪沙,孙光宪,"[7,14,21,35,44]"
浣溪沙,顾夐,"[7,14,23,37,46]"
浣溪沙,李煜,"[7,14,21,28,35,42]"
沙塞子,葛立方,"[6,13,24,31,38,49]"
沙塞子,周紫芝,"[7,14,25,32,39,50]"
沙塞子,赵彦端,"[6,13,24,31,38,49]"
殿前欢,张可久,"[3,10,26,31,59]"
水仙子,倪瓒,"[7,14,31,37,45,49]"
霜天晓角,辛弃疾,"[4,9,21,26,31,43]"
霜天晓角,赵师侠,"[4,9,15,21,26,31,37,43]"
霜天晓角,葛长庚,"[4,9,15,18,26,29,34,43]"
霜天晓角,程垓,"[5,10,22,27,32,44]"
霜天晓角,吴文英,"[5,10,22,24,27,32,44]"
霜天晓角,黄机,"[4,9,21,26,31,43]"
霜天晓角,蒋捷,"[4,9,21,23,26,31,43]"
霜天晓角,赵长卿,"[10,22,32,44]"
清商怨,周邦彦,"[6,11,20,26,33,42]"
清商怨,沈会宗,"[6,11,20,26,34,43]"
菩萨蛮,朱敦儒,"[1]"
菩萨蛮,楼扶,"[29,34,59,64]"
采桑子,李清照,"[11,24,35,48]"
采桑子,朱淑真,"[11,15,22,27,38,42,54]"
后庭花,孙光宪,"[7,11,18,22,30,35,42,46]"
后庭花,孙光宪,"[7,11,18,22,31,35,42,46]"
后庭花,张先,"[7,11,22,29,33,44]"
诉衷情令,欧阳修,"[7,12,24,30,33,45]"
诉衷情令,张元幹,"[7,12,24,30,33,45]"
卜算子,石孝友,"[5,10,22,27,32,44]"
卜算子,徐俯,"[10,22,27,32,45]"
卜算子,黄公度,"[10,23,33,45]"
卜算子,张先,"[10,23,28,33,46]"
卜算子,杜安世,"[5,10,23,28,33,46]"
卜算子,无名氏,"[10,22,32,46]"
一落索,吕渭老,"[6,10,22,28,32,45]"
一落索,毛滂,"[6,10,23,29,33,46]"
一落索,张先,"[7,11,24,30,34,47]"
一落索,秦观,"[6,11,24,30,35,48]"
一落索,严仁,"[6,11,25,31,35,48]"
一落索,陈凤仪,"[7,12,25,31,36,49]"
一落索,欧阳修,"[7,12,25,32,37,50]"
谒金门,孙光宪,"[3,9,16,21,27,33,40,45]"
谒金门,周必大,"[3,9,16,21,27,33,40,45]"
谒金门,程过,"[3,9,16,21,28,34,41,46]"
好事近,陆游,"[11,17,22,34,40,45]"
好女儿,晏几道,"[4,8,29,41,62]"
清平乐,赵长卿,"[4,9,16,22,28,34,46]"
清平乐,李白,"[4,9,16,22,34,40,46]"
忆秦娥,晁补之,"[3,10,13,21,28,35,38,46]"
忆秦娥,石孝友,"[3,10,24,38,52]"
忆秦娥,秦观,"[3,10,24,31,38,52]"
忆秦娥,倪瓒,"[3,10,18,25,32,40]"
忆秦娥,冯延巳,"[3,8,10,17,24,29,31,38]"
忆秦娥,张先,"[3,8,11,18,26,31,34,41]"
忆秦娥,毛滂,"[2,7,9,16,23,28,30,37]"
忆秦娥,贺铸,"[3,10,24,31,38,52]"
忆秦娥,颜奎,"[3,10,18,25,32,40]"
更漏子,韦庄,"[1]"
更漏子,贺铸,"[1]"
更漏子,欧阳炯,"[1]"
更漏子,孙光宪,"[1]"
更漏子,无名氏,"[1]"
更漏子,欧阳炯,"[13,20,25,31,37,44,49]"
更漏子,杜安世,"[4,13,27,38,51,57,66,80,91,104]"
巫山一段云,缥缈云间质,"[1]"
巫山一段云,毛文锡,"[10,17,22,32,39,44]"
忆少年,曹组,"[12,22,30,37,47]"
西地锦,石孝友,"[6,11,24,30,35,48]"
西地锦,无名氏,"[6,11,23,29,35,47]"
相思引,无名氏,"[6,12,19,24,31,37,44,49]"
相思引,无名氏,"[6,12,18,23,30,36,43,48]"
喜迁莺,冯延巳,"[11,18,23,29,35,42,47]"
喜迁莺,薛昭蕴,"[6,11,18,23,29,35,42,47]"
喜迁莺,南唐李煜,"[6,11,18,23,26,29,35,42,47]"
喜迁莺,毛文锡,"[6,11,18,23,29,35,47]"
喜迁莺,张元幹,"[6,11,18,23,33,40,45]"
喜迁莺,康与之,"[4,13,27,39,51,56,65,79,91,103]"
喜迁莺,蒋捷,"[4,13,27,39,51,68,82,94,106]"
喜迁莺,吴文英,"[4,13,27,39,51,53,56,65,79,91,103]"
喜迁莺,赵长卿,"[4,13,27,39,51,56,65,79,91,103]"
喜迁莺,史达祖,"[4,13,27,39,51,53,56,65,79,91,103]"
喜迁莺,姜夔,"[4,13,27,40,43,52,54,57,66,80,93,96,105]"
喜迁莺,无名氏,"[13,27,39,51,65,79,91,103]"
喜迁莺,江汉,"[4,13,27,39,51,53,56,65,79,91,103]"
喜迁莺,蔡伸,"[4,13,27,39,51,56,65,79,91,103]"
喜迁莺,无名氏,"[4,13,27,39,51,64,78,90,102]"
喜迁莺,无名氏,"[4,13,27,39,51,65,79,91,103]"
乌夜啼,赵令畤,"[12,24,36,48]"
乌夜啼,程垓,"[12,25,37,50]"
阮郎归,黄庭坚,"[7,12,19,24,30,42]"
贺圣朝,黄庭坚,"[7,11,23,27,35,47]"
贺圣朝,叶清臣,"[7,12,24,32,37,49]"
贺圣朝,赵师侠,"[7,12,24,37,49]"
贺圣朝,赵彦端,"[7,12,24,31,36,48]"
贺圣朝,杜安世,"[7,11,22,35,47]"
贺圣朝,杜安世,"[7,11,22,30,35,47]"
贺圣朝,无名氏,"[12,24,36]"
贺圣朝,无名氏,"[12,25,37,50]"
甘草子,柳永,"[2,11,21,28,35,42,47]"
画堂春,谢懋,"[7,12,19,23,35,42,46]"
画堂春,赵长卿,"[7,13,20,24,37,44,48]"
画堂春,黄庭坚,"[7,13,20,25,37,44,49]"
画堂春,赵长卿,"[7,13,20,24,31,38,45,49]"
三字令,向子諲,"[6,12,18,27,33,39,45,48,54]"
忆余杭,潘阆,"[18,23,30,37,44,49]"
秋蕊香,周邦彦,"[6,12,19,25,32,35,42,48]"
秋蕊香,赵以夫,"[14,24,32,38,49,64,72,80,86,97]"
胡捣练,晏几道,"[13,19,24,36,42,47]"
胡捣练,杜安世,"[14,20,25,39,45,50]"
桃源忆故人,王庭珪,"[7,13,19,24,31,38,44,49]"
庆金枝,张先,"[5,11,18,24,37,44,50]"
庆金枝,无名氏,"[5,11,18,24,31,37,44,50]"
烛影摇红,王诜,"[13,25,31,38,50]"
烛影摇红,周邦彦,"[11,23,29,36,48,59,71,77,84,96]"
朝中措,辛弃疾,"[7,12,24,31,36,48]"
朝中措,赵长卿,"[7,12,24,36,48]"
朝中措,蔡伸,"[7,12,24,37,49]"
眼儿媚,贺铸,"[7,12,24,36,48]"
眼儿媚,赵长卿,"[7,12,24,31,36,48]"
人月圆,杨无咎,"[12,24,36,48]"
人月圆,杨无咎,"[7,12,24,36,48]"
喜团圆,无名氏,"[12,24,36,48]"
海棠春,吴潜,"[7,14,24,32,38,48]"
海棠春,马庄父,"[7,13,23,30,36,46]"
武陵春,李清照,"[12,19,24,36,43,49]"
武陵春,万俟咏,"[13,21,27,34,40,48,54]"
东坡引,袁去华,"[5,10,17,22,30,37,44,49]"
东坡引,辛弃疾,"[5,10,17,22,36,42,49,54]"
东坡引,辛弃疾,"[5,10,17,22,35,42,49,54]"
阳台梦,解昉,"[1]"
月宫春,周邦彦,"[7,12,19,24,38,45,50]"
河渎神,张泌,"[5,11,18,24,37,49]"
归去来,柳永,"[5,12,19,25,32,39,46,52]"
柳梢青,刘镇,"[12,24,30,37,49]"
柳梢青,张雨,"[4,12,24,30,38,50]"
柳梢青,贺铸,"[4,12,24,37,49]"
柳梢青,蔡伸,"[12,24,37,49]"
柳梢青,赵彦端,"[4,12,24,30,37,49]"
柳梢青,吴瓘,"[12,24,38,50]"
柳梢青,无名氏,"[6,13,25,38,50]"
太常引,高观国,"[7,13,18,25,38,43,50]"
应天长,顾夐,"[7,14,20,27,32,38,44,49]"
应天长,冯延巳,"[7,14,17,20,27,32,38,44,49]"
应天长,毛文锡,"[7,14,21,28,33,39,45,50]"
应天长,柳永,"[5,14,24,29,36,47,52,61,71,76,83,86,94]"
应天长,叶梦得,"[14,24,36,47,52,61,71,83,94]"
应天长,无名氏,"[5,14,24,29,36,39,47,52,61,71,76,83,86,94]"
应天长,周邦彦,"[14,25,31,38,49,63,74,80,87,98]"
应天长,吴文英,"[14,25,31,38,49,54,63,74,80,87,98]"
应天长,康与之,"[14,25,28,31,38,49,54,63,74,77,80,87,98]"
应天长,王沂孙,"[14,20,25,31,38,49,63,69,74,80,87,98]"
应天长,陈允平,"[14,25,31,38,49,63,74,80,87,98]"
满宫花,张泌,"[6,12,25,32,38,51]"
少年游,李甲,"[12,25,37,50]"
少年游,柳永,"[7,12,25,38,51]"
少年游,柳永,"[7,13,26,39,52]"
少年游,周密,"[7,12,24,36,48]"
少年游,杜安世,"[7,12,25,37,44,50]"
少年游,向子諲,"[12,25,37,50]"
少年游,姜夔,"[13,26,38,51]"
少年游,韩淲,"[13,26,39,52]"
少年游,晏几道,"[13,26,39,52]"
少年游,杜安世,"[7,12,25,38,45,51]"
少年游,苏轼,"[13,26,38,51]"
少年游,晏几道,"[13,26,39,46,51]"
少年游,杨亿,"[13,26,39,46,52]"
少年游,晁补之,"[12,25,37,49]"
滴滴金,晏殊,"[7,13,20,25,32,38,45,50]"
滴滴金,杨无咎,"[7,13,20,25,32,38,50]"
滴滴金,孙道绚,"[7,13,25,32,39,51]"
忆汉月,柳永,"[6,12,25,36,50]"
忆汉月,杜安世,"[6,12,26,38,45,52]"
忆汉月,李遵勖,"[6,12,26,31,38,52]"
西江月,苏轼,"[17,24,52,59]"
西江月,吴文英,"[12,19,42,49]"
西江月,欧阳炯,"[1]"
西江月,赵以仁,"[12,19,28,40,47,56]"
惜春令,杜安世,"[19,31,48,60]"
留春令,李之仪,"[12,25,32,37,50]"
留春令,沈端节,"[12,25,32,38,52]"
留春令,黄庭坚,"[7,14,27,34,41,54]"
梁州令,晁补之,"[5,11,27,34,39,45,52]"
梁州令,柳永,"[5,11,27,34,39,55]"
梁州令,欧阳修,"[5,11,27,34,39,52,57,63,79,86,91,104]"
归田乐,蔡伸,"[7,13,25,32,38,50]"
归田乐,晏几道,"[5,12,17,26,33,38,46,55,64,71]"
归田乐,无名氏,"[5,12,17,22,36,41,49,58,63,77]"
归田乐,黄庭坚,"[5,17,22,34,39,46,55,60,72]"
惜分飞,刘弇,"[7,14,19,26,33,40,45,52]"
惜分飞,张先,"[7,14,20,27,34,41,47,54]"
惜分飞,无名氏,"[7,14,19,28,35,42,47,56]"
导引,无名氏,"[9,14,26,38,50]"
导引,无名氏,"[9,14,26,38,50,59,64,76,83,88,100]"
导引,无名氏,"[9,14,26,38,50,59,64,76,88,100]"
导引,无名氏,"[9,14,26,33,38,50,59,64,76,83,88,100]"
探春令,杨无咎,"[12,20,26,33,38,47,52]"
探春令,赵长卿,"[12,20,26,33,38,52]"
探春令,赵长卿,"[12,26,33,38,52]"
探春令,赵长卿,"[12,21,26,33,38,52]"
探春令,赵长卿,"[4,8,12,26,33,38,52]"
探春令,赵长卿,"[12,27,34,39,53]"
探春令,杨无咎,"[12,20,26,33,38,46,52]"
探春令,晏几道,"[12,20,26,33,38,52]"
探春令,无名氏,"[12,26,33,38,52]"
探春令,赵长卿,"[7,12,20,26,33,38,47,52]"
越江吟,苏轼,"[4,7,9,15,18,22,25,32,35,41,44,48,51]"
燕归梁,史达祖,"[7,12,19,25,38,45,51]"
燕归梁,柳永,"[7,11,18,24,37,44,50]"
燕归梁,柳永,"[7,13,20,26,39,46,52]"
雨中花令,毛滂,"[6,12,24,31,37,51]"
雨中花令,欧阳修,"[6,12,25,32,38,52]"
雨中花令,毛滂,"[6,12,25,32,39,52]"
雨中花令,赵长卿,"[7,13,26,33,39,52]"
雨中花令,程垓,"[7,14,27,34,41,54]"
雨中花令,贺铸,"[7,14,27,35,42,55]"
雨中花令,杨无咎,"[7,14,27,34,41,54]"
雨中花令,赵长卿,"[6,13,26,33,40,53]"
雨中花令,王观,"[7,14,28,35,42,56]"
雨中花令,张先,"[7,14,22,29,37,45,54,61]"
雨中花令,周紫芝,"[11,23,35,46,58,70]"
迎春乐,晏殊,"[7,13,21,27,35,42,53]"
迎春乐,秦观,"[7,13,20,26,33,40,51]"
迎春乐,杨无咎,"[7,13,20,26,33,40,51]"
迎春乐,贺铸,"[7,13,20,26,33,40,51]"
迎春乐,无名氏,"[7,13,26,33,40,51]"
迎春乐,周邦彦,"[7,13,21,27,34,41,52]"
菊花新,杜安世,"[7,14,19,26,33,40,52]"
品令,赵长卿,"[3,12,25,38,51]"
品令,周邦彦,"[4,11,18,27,34,39,46,50,55]"
品令,陈允平,"[4,11,18,27,34,39,46,55]"
品令,王行,"[4,11,18,22,27,34,39,46,50,55]"
品令,无名氏,"[4,10,22,32,36,42,54,64]"
品令,周紫芝,"[4,10,22,32,36,42,54,64]"
品令,曾纡,"[4,9,21,31,35,41,53,63]"
品令,卓田,"[10,20,30,40,50,60]"
品令,李清照,"[5,11,23,33,37,43,55,65]"
品令,黄庭坚,"[5,11,23,27,34,38,44,56,60,66]"
品令,黄庭坚,"[5,11,23,33,37,43,55,65]"
引驾行,柳永,"[11,23,25,37,50,52,62,75,77,89,100]"
引驾行,晁补之,"[11,23,25,37,50,52,62,75,77,89,100]"
引驾行,柳永,"[23,25,48,50,62,74,76,86,99,101,113,125]"
恨来迟,无名氏,"[12,25,33,40,53]"
红窗迥,欧良,"[3,6,15,21,26,33,42,48,53]"
折桂令,张可久,"[6,14,26,32,38,50]"
折桂令,张可久,"[7,15,27,52,56,60,68]"
折桂令,白无咎,"[13,22,33,41,54,67,80,88,100]"
临江仙,张泌,"[13,20,29,42,49,58]"
临江仙,牛希济,"[7,13,20,29,42,49,58]"
临江仙,南唐李煜,"[13,20,29,42,49,58]"
临江仙,顾夐,"[13,20,30,43,50,60]"
临江仙,徐昌图,"[12,19,29,41,48,58]"
临江仙,向子諲,"[12,19,28,40,47,56]"
临江仙,贺铸,"[13,20,30,43,50,60]"
临江仙,晏几道,"[14,21,31,45,52,62]"
临江仙,冯延巳,"[13,20,30,43,50,59]"
临江仙,王观,"[13,20,30,43,50,59]"
浪淘沙令,杜安世,"[4,8,15,26,31,35,42,53]"
浪淘沙令,杜安世,"[4,8,15,27,32,36,43,55]"
浪淘沙令,柳永,"[4,8,15,26,30,34,41,52]"
浪淘沙令,宋祁,"[4,8,15,26,33,37,44,54]"
浪淘沙令,杜安世,"[4,8,27,32,36,50,55]"
金错刀,冯延巳,"[6,13,32,38,45,64]"
金错刀,叶李,"[3,14,28,31,42,56]"
端正好,杨无咎,"[7,14,21,27,34,41,48,54]"
杏花天,侯寘,"[7,14,21,28,35,42,49,55]"
杏花天,卢炳,"[7,14,21,28,35,42,49,56]"
恋绣衾,周密,"[7,14,27,41,54]"
恋绣衾,辛弃疾,"[7,14,28,42,55]"
恋绣衾,韩淲,"[7,14,27,42,55]"
恋绣衾,赵汝茪,"[7,14,28,42,56]"
撷芳词,史达祖,"[3,6,13,16,19,27,30,33,40,43,46,54]"
撷芳词,吕渭老,"[3,6,13,16,19,27,30,33,40,43,46,54]"
撷芳词,程垓,"[3,6,13,16,19,27,30,33,40,43,46,54]"
撷芳词,宋媛唐氏,"[3,6,13,16,19,27,30,33,40,43,46,54]"
一七令,韦式,"[4,10,18,28,34,40,54]"
一七令,张南史,"[4,10,18,28,40,54]"
河传,孙光宪,"[2,4,8,12,19,21,26,33,36,41,44,47,49,54]"
河传,棹举,"[2,4,12,19,21,26,33,36,41,44,47,49,54]"
河传,春水,"[2,4,8,12,19,21,26,33,36,41,44,47,49,54]"
河传,后段六句三仄韵、三平韵张泌,"[2,11,15,22,24,27,34,37,42,49,51,56]"
河传,后段六句三仄韵、三平韵阎选,"[2,15,22,24,27,34,37,42,49,51,56]"
河传,韦庄,"[2,4,8,12,22,25,32,35,40,44,50,53]"
河传,海宇,"[4,8,12,22,25,32,35,40]"
河传,帝里,"[4,8,12,16,22,25,32,35,40]"
河传,小院,"[4,8,16,22,25,32,35,40,50,53]"
河传,陆游,"[4,8,16,22,25,32,36,41,51,54]"
河传,陆游,"[8,16,22,25,32,36,41,51,54]"
河传,黄昇,"[2,4,8,16,22,25,32,36,41,51,54]"
河传,李珣,"[2,4,8,12,16,22,27,34,37,42,52,55]"
河传,孙光宪,"[2,4,8,12,22,27,34,37,42,45,53,58]"
河传,顾夐,"[2,4,12,20,25,32,35,40,43,46,48,53]"
河传,顾夐,"[4,12,21,26,33,36,41,44,47,49,54]"
河传,孙光宪,"[4,8,12,21,26,33,36,41,44,47,49,54]"
河传,孙光宪,"[4,8,12,18,20,25,32,35,40,43,46,48,53]"
河传,张泌,"[4,12,20,25,32,35,40,46,51]"
河传,柳永,"[2,4,12,22,27,34,37,42,52,57]"
河传,柳永,"[4,12,22,27,34,37,42,52,57]"
河传,徐昌图,"[4,12,28,35,39,44,60]"
河传,吕渭老,"[4,9,13,23,29,36,45,55,61]"
河传,黄庭坚,"[4,13,29,36,45,55,61]"
河传,无名氏,"[4,11,21,27,34,43,59]"
望远行,李珣,"[7,13,20,27,33,39,46,53]"
望远行,韦庄,"[7,12,19,24,27,30,36,43,50,55,60]"
望远行,无名氏,"[10,20,31,39,49,59,70,78]"
望远行,柳永,"[13,27,43,53,55,61,68,82,98,107]"
望远行,柳永,"[13,27,43,52,54,67,81,97,106]"
望远行,无名氏,"[4,13,27,43,52,54,67,81,97,106]"
木兰花令,毛熙震,"[6,13,26,32,39,52]"
木兰花令,魏承班,"[6,13,26,33,40,54]"
芳草渡,张先,"[7,13,20,29,35,41,48,57]"
芳草渡,周邦彦,"[12,23,28,33,44,46,57,69,80,89]"
芳草渡,陈允平,"[12,23,28,33,44,55,67,78,87]"
夜行船,毛滂,"[6,13,27,34,41,55]"
夜行船,史达祖,"[7,14,28,35,42,56]"
夜行船,周密,"[7,14,28,35,42,56]"
夜行船,赵长卿,"[7,14,28,35,42,50,56]"
夜行船,赵长卿,"[7,14,29,36,43,58]"
夜行船,杨无咎,"[7,14,28,35,42,56]"
夜行船,王嵎,"[7,14,28,35,42,58]"
夜行船,杨无咎,"[6,13,27,34,41,55]"
夜行船,孙浩然,"[6,13,27,34,41,49,55]"
夜行船,杨无咎,"[6,13,27,35,56]"
金凤钩,晁补之,"[6,13,26,33,40,54]"
虞美人,张炎,"[7,12,19,28,35,40,47,56]"
虞美人,冯延巳,"[7,12,19,28,35,40,47,56]"
虞美人,毛文锡,"[7,12,19,29,36,41,48,55,58]"
虞美人,晁补之,"[7,12,19,26,29,36,41,48,55,58]"
虞美人,顾夐,"[7,12,19,26,29,36,41,48,55,58]"
瑞鹧鸪,贺铸,"[7,14,28,42,56]"
瑞鹧鸪,柳永,"[7,14,30,43,57,64]"
瑞鹧鸪,无名氏,"[7,14,30,43,57,64]"
瑞鹧鸪,柳永,"[4,13,21,32,43,48,57,66,77,88]"
瑞鹧鸪,柳永,"[4,13,21,32,42,47,56,64,75,86]"
玉楼春,顾夐,"[7,14,28,42,56]"
玉楼春,牛峤,"[7,14,28,35,42,56]"
玉楼春,南唐李煜,"[7,14,28,35,42,56]"
凤衔杯,柳永,"[7,14,26,32,38,45,57,63]"
凤衔杯,杜安世,"[7,14,23,29,35,42,51,57]"
鹊桥仙,卢炳,"[8,14,28,36,42,49,56]"
鹊桥仙,辛弃疾,"[4,8,14,28,32,36,42,56]"
鹊桥仙,辛弃疾,"[14,29,43,58]"
鹊桥仙,黄庭坚,"[15,29,43,57]"
鹊桥仙,方岳,"[8,15,29,37,44,58]"
鹊桥仙,柳永,"[13,23,34,46,52,59,68,74,79,83,88]"
茶瓶儿,赵彦端,"[6,13,20,27,33,40,47,54]"
茶瓶儿,石孝友,"[6,13,20,27,30,43,50,57]"
卓牌子,万俟咏,"[12,28,40,57,61,68,72,77,90,92,97]"
卓牌子,无名氏,"[11,27,39,53,57,64,73,86,88,93]"
厅前柳,朱雍,"[12,20,26,41,49,55]"
厅前柳,朱雍,"[12,20,26,40,48,54]"
一斛珠,张先,"[4,11,18,27,34,41,48,57]"
一斛珠,周邦彦,"[4,11,18,27,34,41,48,57]"
夜游宫,贺铸,"[6,13,20,29,34,41,48,57]"
梅花引,万俟咏,"[3,6,13,16,31,38,45,48,63]"
梅花引,贺铸,"[3,6,13,16,19,28,35,42,45,48,57,60,63,70,73,76,85,92,99,102,105,114]"
梅花引,无名氏,"[3,6,13,16,31,34,37,44,47,50,59,66,73,76,91,98,105,108,111,120]"
小重山,赵长卿,"[7,15,22,31,36,44,51,60]"
小重山,无名氏,"[7,14,21,29,34,42,49,57]"
小重山,黄子行,"[7,15,22,30,35,43,50,58]"
踏莎行,曾觌,"[8,16,25,33,41,49,58,66]"
踏莎行,陈亮,"[8,16,24,32,40,48,56,64]"
宜男草,范成大,"[7,14,30,37,44,60]"
接贤宾,柳永,"[11,21,33,47,58,65,70,80,92,106,117]"
步蟾宫,杨无咎,"[7,14,29,36,43,58]"
步蟾宫,蒋捷,"[7,14,28,35,42,56]"
步蟾宫,汪存,"[7,14,28,35,41,55]"
步蟾宫,无名氏,"[7,14,28,35,42,57]"
冉冉云,韩淲,"[7,14,30,37,44,53,59]"
蝶恋花,沈会宗,"[7,16,23,30,37,46,53,60]"
蝶恋花,石孝友,"[16,30,37,46,53,60]"
七娘子,蔡伸,"[7,14,22,29,36,43,51,58]"
七娘子,无名氏,"[15,23,30,37,45,53,60]"
一剪梅,吴文英,"[7,15,22,30,37,45,52,60]"
一剪梅,卢炳,"[7,15,22,26,30,37,45,52,56,60]"
一剪梅,张炎,"[7,11,22,26,37,41,52,56]"
一剪梅,蒋捷,"[7,11,15,22,26,30,37,41,45,52,56,60]"
一剪梅,曹勋,"[7,14,29,36,43,58]"
一剪梅,赵长卿,"[7,15,29,36,44,59]"
锦帐春,程珌,"[8,15,30,38,45,60]"
锦帐春,戴复古,"[8,15,25,29,37,44,54,58]"
锦帐春,邱崈,"[8,15,24,28,36,43,52,56]"
唐多令,吴文英,"[5,10,18,31,36,41,48,61]"
唐多令,周密,"[5,10,18,31,36,41,49,62]"
贺熙朝,欧阳炯,"[7,15,27,31,38,48,53,61]"
拨棹子,黄庭坚,"[36,39,42,50,57,62,67]"
拨棹子,无名氏,"[6,15,30,38,47,62]"
系裙腰,刘儗,"[7,10,13,19,25,28,38,44,50,56]"
系裙腰,宋媛魏氏,"[7,13,20,29,36,42,49,58]"
