词牌名,作者,韵律,中,平,仄,总数,分段字数
梧叶儿 ,张可久,平仄平平仄，平平仄仄平。平仄仄平平。仄仄平平仄，平平仄仄平。仄仄仄平平。平仄仄、平平仄仄。,0,19,18,37,"[5, 5, 5, 5, 5, 5, 3, 4]"
渔歌子 ,张志和,平仄平平仄仄平。平平平仄仄平平。平仄仄，仄平平。平平仄仄仄平平。,0,16,11,27,"[7, 7, 3, 3, 7]"
渔歌子 ,张志和,平平仄仄仄平平。平仄平平仄仄平。平仄仄，仄平平。仄仄平平仄仄平。,0,14,13,27,"[7, 7, 3, 3, 7]"
渔歌子 ,（南唐）李煜,仄仄仄平平仄仄，平仄平平仄仄平。仄平仄，仄平平。仄仄平平仄仄平。,0,12,15,27,"[7, 7, 3, 3, 7]"
渔歌子 ,苏轼,平仄仄，平平仄。平仄仄平平仄。仄平平仄仄平平，仄仄仄平平仄。,0,12,13,25,"[3, 3, 6, 7, 6]"
渔歌子 ,顾夐,仄平平，平仄仄。仄平平仄平平仄。仄平平，仄平仄。仄仄平平仄仄。仄平平，平仄仄。平平平仄平平仄。仄平平，平仄仄。平仄平平仄仄。,0,26,24,50,"[3, 3, 7, 3, 3, 6, 3, 3, 7, 3, 3, 6]"
渔歌子 ,孙光宪,仄平平，平仄仄。仄平仄仄平平仄。平仄仄，仄平平，仄仄平平平仄。仄仄平，平仄仄。仄平仄仄平平仄。平仄仄，仄平平，仄仄平平平仄。,0,23,27,50,"[3, 3, 7, 3, 3, 6, 3, 3, 7, 3, 3, 6]"
忆江南 ,白居易,平平仄，平仄仄平平。仄仄平平平仄仄，平平平仄仄平平。平仄仄平平。,0,16,11,27,"[3, 5, 7, 7, 5]"
忆江南 ,欧阳修,平平仄，平仄仄平平。平仄平平平仄仄，平平平仄仄平平。平仄仄平平。平仄仄，仄仄仄平平。平仄平平平仄仄，仄平平仄仄平平。平仄仄平平。,0,31,23,54,"[3, 5, 7, 7, 5, 3, 5, 7, 7, 5]"
忆江南 ,冯延巳,仄仄平平平仄仄。仄仄平平，仄平平仄。仄平平仄仄平平。仄平平仄仄平平。平平平仄平平仄。仄仄平平，仄仄平平仄。平平平仄仄平平。平平仄仄仄平平。,0,33,26,59,"[7, 4, 4, 7, 7, 7, 4, 5, 7, 7]"
潇湘神 ,刘禹锡,平仄平。平仄平。仄平仄仄仄平平。仄仄仄平平仄仄，平平平仄仄平平。,0,14,13,27,"[3, 3, 7, 7, 7]"
章台柳 ,韩翃,平平仄。平平仄。仄仄平平平仄仄。仄仄平平仄仄平，仄平平仄平平仄。,0,14,13,27,"[3, 3, 7, 7, 7]"
章台柳 ,唐妓柳氏,平仄平，平平仄。仄仄平平仄平仄。仄仄平平仄仄平，仄仄平平仄平仄。,0,13,14,27,"[3, 3, 7, 7, 7]"
