词牌名,作者,韵律,中,平,仄,总数,分段字数
鬲溪梅令 ,姜夔,仄平仄仄仄平平。仄平平。仄仄平平平仄、仄平平。仄平平仄平。仄平平仄仄平平。仄平平。仄仄平平平仄、仄平平。仄平平仄平。,0,27,21,48,"[7, 3, 6, 3, 5, 7, 3, 6, 3, 5]"
伊州三台 ,赵师侠,仄平平仄平平。仄仄平平仄平。平仄仄平平。仄平平、仄平仄平。仄平平仄平平。仄仄平平仄平。仄仄仄平平。仄平平、仄平仄平。,0,27,21,48,"[6, 6, 5, 3, 4, 6, 6, 5, 3, 4]"
双头莲令 ,赵师侠,仄平平仄仄平平。仄仄仄平平。平平仄仄仄平平。仄仄仄平平。仄平仄仄仄平平。平仄仄平平。平平仄仄仄平平。平仄仄平平。,0,25,23,48,"[7, 5, 7, 5, 7, 5, 7, 5]"
梅弄影 ,丘崈,仄平平仄。仄仄平平仄。平仄平平仄仄。仄仄平平，仄平平仄仄。仄平平仄。仄仄平平仄。仄仄平平平仄。仄仄平平，平平平仄仄。,0,23,25,48,"[4, 5, 6, 4, 5, 4, 5, 6, 4, 5]"
茅山逢故人 ,张雨,平仄平平平仄。平仄平平平仄。仄仄平平，平平平仄，仄平平仄。平平仄仄平平，平仄平平平仄。仄仄平平，平平平仄，仄平平仄。,0,30,18,48,"[6, 6, 4, 4, 4, 6, 6, 4, 4, 4]"
阳台梦 ,唐庄宗,仄平平仄平平仄。仄平平仄平平仄。仄平平仄仄平平，仄平平仄仄。平平平仄仄，平仄平平仄仄。仄平平仄仄平平，仄仄平平仄。,0,26,23,49,"[7, 7, 7, 5, 5, 6, 7, 5]"
阳台梦 ,解昉,平平仄仄。仄仄平平仄。平仄平平平仄。仄平仄仄仄平平。仄仄平、仄平平。平平仄仄平平仄。平仄平平仄。仄平平仄仄平平。仄仄平平，仄仄仄、仄平平。,0,29,28,57,"[4, 5, 6, 7, 3, 3, 7, 5, 7, 4, 3, 3]"
月宫春 ,毛文锡,仄平平仄仄平平。平平仄仄平。平平平仄仄平平。平平仄仄平。仄仄平平平仄仄，平平仄仄仄平平。平仄平平仄仄，仄平平仄平。,0,28,21,49,"[7, 5, 7, 5, 7, 7, 6, 5]"
月宫春 ,周邦彦,仄平仄仄仄平平。平仄仄平平。仄平仄仄仄平平。仄仄仄平平。平平仄仄平平仄，平仄仄、仄仄平平。平平仄仄仄平平。仄仄仄平平。,0,24,26,50,"[7, 5, 7, 5, 7, 3, 4, 7, 5]"
河渎神 ,温庭筠,平仄仄平平。仄平平仄平平。仄平平仄仄平平。平仄平平仄平。平仄仄平平仄仄。仄平平仄平仄。平仄仄平平仄。仄平平仄平仄。,0,27,22,49,"[5, 6, 7, 6, 7, 6, 6, 6]"
河渎神 ,张泌,仄仄仄平平。仄平平仄平平。仄平平仄仄平平。仄仄平平仄平。平仄仄平平仄仄，平平平仄平平。平仄仄平平仄，仄平平仄平平。,0,28,21,49,"[5, 6, 7, 6, 7, 6, 6, 6]"
归去来 ,柳永,平仄平平平仄。平仄平平仄。平仄平平平平仄。平平仄、仄平仄。平仄平平仄。平平仄、仄平平仄。平平仄仄平平仄。平平仄、仄平仄。,0,29,20,49,"[6, 5, 7, 3, 3, 5, 3, 4, 7, 3, 3]"
归去来 ,柳永,仄仄平平仄。平平仄、仄平平仄。平平仄仄平平仄。仄平平、平仄仄。仄平平仄平平仄。仄平仄、仄平平仄。平平仄仄平平仄。平平仄、仄平仄。,0,27,25,52,"[5, 3, 4, 7, 3, 3, 7, 3, 4, 7, 3, 3]"
惜春郎 ,柳永,仄平平仄平平仄。仄仄平平仄。平平仄仄，仄平平仄，平仄平仄。仄仄平平平仄仄。仄仄仄平仄。仄仄平、仄仄平平，仄仄仄平平仄。,0,21,28,49,"[7, 5, 4, 4, 4, 7, 5, 3, 4, 6]"
极相思 ,无名氏,仄平仄仄平平。平仄仄平平。平平仄仄，仄平仄仄，平仄平平。仄仄仄仄平平仄，平仄仄、仄仄平平。平平仄仄，平平仄仄，平仄平平。,0,24,25,49,"[6, 5, 4, 4, 4, 7, 3, 4, 4, 4, 4]"
双韵子 ,张先,平平仄仄，仄平仄仄，平平平仄。仄平仄仄平平，平仄仄、平平仄。平平仄。平平仄。平平仄、平平仄仄。仄平仄仄平平，平仄仄、平平仄。,0,26,23,49,"[4, 4, 4, 6, 3, 3, 3, 3, 3, 4, 6, 3, 3]"
凤孤飞 ,晏几道,仄仄仄平平仄，仄仄平平仄。仄仄平平仄仄。仄仄仄、平平仄。仄仄平平平仄仄。平平仄、仄平仄仄。平仄平平平仄仄。仄平平平仄。,0,21,28,49,"[6, 5, 6, 3, 3, 7, 3, 4, 7, 5]"
柳梢青 ,秦观,仄仄平平。平平仄仄，仄仄平平。仄仄平平，平平平仄，平仄平平。平平仄仄平平。仄仄仄、平平仄平。平仄平平，平平平仄，平仄平平。,0,30,19,49,"[4, 4, 4, 4, 4, 4, 6, 3, 4, 4, 4, 4]"
柳梢青 ,刘镇,平仄平平，仄平仄仄，平仄平平。仄仄平平，平平仄仄，平仄平平。平平仄仄平平。仄仄仄、平平仄平。仄仄平平，平平仄仄，平仄平平。,0,28,21,49,"[4, 4, 4, 4, 4, 4, 6, 3, 4, 4, 4, 4]"
柳梢青 ,张雨,仄仄平平。平平仄仄，仄仄平平。仄仄平平，仄平平仄，平仄平平。仄平仄仄平平。仄仄仄平平、平仄平。仄仄平平，仄平平仄，仄仄平平。,0,26,24,50,"[4, 4, 4, 4, 4, 4, 6, 5, 3, 4, 4, 4]"
柳梢青 ,贺铸,仄平平仄。仄平仄仄，平平平仄。仄仄平平，仄平平仄，平平平仄。平平仄仄平平，仄仄仄、平平仄仄。仄仄平平，平平平仄，仄平平仄。,0,26,23,49,"[4, 4, 4, 4, 4, 4, 6, 3, 4, 4, 4, 4]"
柳梢青 ,蔡伸,平仄平平，仄平仄仄，平平平仄。仄仄平平，仄平平仄，仄平平仄。平平仄仄平平，平仄仄、平平平仄。仄仄平平，平平仄仄，平平平仄。,0,28,21,49,"[4, 4, 4, 4, 4, 4, 6, 3, 4, 4, 4, 4]"
柳梢青 ,赵彦端,平平仄仄。平仄平仄，平平平仄。仄仄平平，仄平仄仄，仄平平仄。平平仄仄平仄。仄仄仄、平平仄仄。仄仄平平，仄平平仄，平平平仄。,0,24,25,49,"[4, 4, 4, 4, 4, 4, 6, 3, 4, 4, 4, 4]"
柳梢青 ,吴瓘,平仄平平，平平平仄，平平平仄。仄仄平平，仄平仄仄，仄平平仄。仄平平、仄仄平平，仄仄仄、平平仄仄。仄仄平平，平平仄仄，仄平平仄。,0,26,24,50,"[4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4]"
柳梢青 ,无名氏,平平仄平平仄。仄仄仄、平平仄仄。仄仄平平，平平平仄，仄平平仄。平平仄仄平平，平仄仄、仄平平仄。仄仄平平，平平平仄，仄平平仄。,0,27,23,50,"[6, 3, 4, 4, 4, 4, 6, 3, 4, 4, 4, 4]"
醉乡春 ,秦观,仄仄仄平平仄。平仄仄平平仄。仄仄仄，仄平平，平仄仄平平仄。仄仄仄平平仄。仄仄平平仄仄。仄平仄，仄平平，仄平仄仄平平仄。,0,20,29,49,"[6, 6, 3, 3, 6, 6, 6, 3, 3, 7]"
太常引 ,辛弃疾,平平仄仄仄平平。仄仄仄平平。平仄仄平平。仄平仄、平平仄平。平平仄仄，平平仄仄，仄仄仄平平。仄仄仄平平。仄仄仄、平平仄平。,0,24,25,49,"[7, 5, 5, 3, 4, 4, 4, 5, 5, 3, 4]"
太常引 ,高观国,仄平平仄仄平平。仄平仄、仄平平。平仄仄平平。仄仄仄、平平仄平。仄平平仄，仄平平仄，仄仄仄平平。平仄仄平平。仄仄仄、平平仄平。,0,25,25,50,"[7, 3, 3, 5, 3, 4, 4, 4, 5, 5, 3, 4]"
应天长 ,韦庄,仄平平仄平平仄。平仄平平平仄仄。仄平平，平仄仄。仄仄仄平平仄仄。仄平平，平仄仄。平仄仄平平仄。仄仄仄平平仄。仄平平仄仄。,0,23,27,50,"[7, 7, 3, 3, 7, 3, 3, 6, 6, 5]"
应天长 ,顾夐,仄仄平平平仄仄。平仄平平平仄仄。平平仄，平平仄。仄仄仄平平仄仄。仄平平平仄。仄仄平平平仄。仄仄平平仄仄。仄平平仄仄。,0,23,26,49,"[7, 7, 3, 3, 7, 5, 6, 6, 5]"
应天长 ,冯延巳,仄平平仄平平仄。平仄仄平平仄仄。平平仄。平平仄。平仄仄平平仄仄。仄平平仄仄。平仄仄平平仄。仄仄平平仄仄。平平仄仄仄。,0,23,26,49,"[7, 7, 3, 3, 7, 5, 6, 6, 5]"
应天长 ,毛文锡,平平平仄平平仄。仄仄仄平平仄仄。平平仄仄平平仄。平仄仄平平仄仄。平平平仄仄。平仄平平平仄。平仄平平平仄。平仄仄平仄。,0,27,23,50,"[7, 7, 7, 7, 5, 6, 6, 5]"
应天长 ,柳永,平平平仄仄。仄仄仄平平，仄仄平仄。平仄平平，仄仄平平平仄。平平平仄仄。仄平仄、仄平平仄。仄仄仄，仄仄平平，仄平平仄。仄仄仄平仄。仄仄仄平平，仄仄平仄。平仄平平，平仄平平平仄。平平平仄仄。仄平仄、仄平平仄。平仄仄。平仄平平，仄仄平仄。,0,44,50,94,"[5, 5, 4, 4, 6, 5, 3, 4, 3, 4, 4, 5, 5, 4, 4, 6, 5, 3, 4, 3, 4, 4]"
应天长 ,叶梦得,平平平仄仄，仄仄仄平平，仄平平仄。平仄平平，仄仄仄平平仄。平平平仄仄，仄仄仄、仄平平仄。平仄仄，平仄平平，仄平平仄。平仄仄平仄。仄仄仄平平，仄平平仄。平仄平平，平仄仄平平仄。平平平仄仄，仄仄仄、仄平平仄。仄仄仄，平仄平平，仄平平仄。,0,45,49,94,"[5, 5, 4, 4, 6, 5, 3, 4, 3, 4, 4, 5, 5, 4, 4, 6, 5, 3, 4, 3, 4, 4]"
应天长 ,无名氏,平平平仄仄。仄仄仄平平，仄平平仄。仄仄仄仄，平仄平平平仄。仄平平仄仄。仄仄仄、平平平仄。平仄仄。仄仄平平，仄仄平仄。平平平仄仄。仄仄平平平，仄平仄仄。平仄平平，仄仄平平平仄。平平平仄仄。仄仄仄、仄平平仄。平仄仄。平仄平平，平仄平仄。,0,44,50,94,"[5, 5, 4, 4, 6, 5, 3, 4, 3, 4, 4, 5, 5, 4, 4, 6, 5, 3, 4, 3, 4, 4]"
应天长 ,周邦彦,平平仄仄，平仄仄平，平平仄仄平仄。仄仄仄平平仄，平平仄平仄。平平仄，仄平仄。仄仄仄、仄平平仄。仄平仄，仄仄平平，仄仄平仄。平仄仄平平，仄仄平平，平仄仄平仄。仄仄仄平平仄，平平仄平仄。平平仄，平仄仄。仄仄仄、仄平平仄。仄平仄，仄仄平平，平仄平仄。,0,43,55,98,"[4, 4, 6, 6, 5, 3, 3, 3, 4, 3, 4, 4, 5, 4, 5, 6, 5, 3, 3, 3, 4, 3, 4, 4]"
应天长 ,吴文英,仄平仄仄，平仄仄平，平平平仄平仄。仄仄仄平平仄，平平仄平仄。平平仄，平仄仄。仄仄仄、仄平平仄。仄平仄，仄仄平平，仄仄平仄。平仄仄平仄。仄仄平平，平仄仄平仄。仄仄仄平平仄，平平仄平仄。平平仄，平仄仄。仄仄仄、仄平平仄。仄仄仄，仄仄平平，平仄平仄。,0,41,57,98,"[4, 4, 6, 6, 5, 3, 3, 3, 4, 3, 4, 4, 5, 4, 5, 6, 5, 3, 3, 3, 4, 3, 4, 4]"
应天长 ,康与之,仄平仄仄，平仄仄平，平平仄平平仄。平仄平平，仄仄平平仄平仄。平平仄。平仄仄。仄仄仄、仄平平仄。仄平仄，仄仄平平，平平平仄。仄仄仄平仄。平仄平平，平仄仄平仄。平仄仄平，平仄平平仄平仄。仄平仄。平仄仄。仄仄仄、仄平平仄。仄平仄，仄仄平平，仄平平仄。,0,45,53,98,"[4, 4, 6, 4, 7, 3, 3, 3, 4, 3, 4, 4, 5, 4, 5, 4, 7, 3, 3, 3, 4, 3, 4, 4]"
应天长 ,王沂孙,平平仄仄，平仄仄平，平平仄仄平仄。仄仄仄平平仄。平平仄平仄。平平仄，平仄仄。仄仄仄，仄平平仄。仄平仄、仄仄平平，平仄平仄。平仄仄平平，仄仄平平，平仄仄平仄。仄仄仄平平仄。平平仄平仄。平平仄，平仄仄。仄仄仄、仄平平仄。仄平仄，平仄平平，仄仄平仄。,0,44,54,98,"[4, 4, 6, 6, 5, 3, 3, 3, 4, 3, 4, 4, 5, 4, 5, 6, 5, 3, 3, 3, 4, 3, 4, 4]"
应天长 ,陈允平,平平仄仄，平仄仄平，平平仄仄平仄。仄仄仄平平仄，平平仄平仄。平平仄平仄仄。平仄仄、平平平仄。仄平仄，平仄平平，平仄平仄。平仄仄平平，仄仄平平，平仄仄平仄。仄仄平平平仄，平平仄平仄。平平仄平仄仄。仄平仄、仄平平仄。仄平仄，仄仄平平，平仄平仄。,0,49,49,98,"[4, 4, 6, 6, 5, 6, 3, 4, 3, 4, 4, 5, 4, 5, 6, 5, 6, 3, 4, 3, 4, 4]"
满宫花 ,尹鹗,仄平平，平仄仄。仄仄仄平平仄。仄平仄仄仄平平，仄仄仄平平仄。平仄平，平仄仄。平仄仄平平仄。仄平平仄仄平平，平仄仄平平仄。,0,23,27,50,"[3, 3, 6, 7, 6, 3, 3, 6, 7, 6]"
满宫花 ,张泌,平仄平，平仄仄。仄仄仄平平仄。仄平平仄仄平平，平仄仄平平仄。平仄平平平仄仄。仄仄平平平仄。平平平仄仄平平，平仄平平平仄。,0,28,23,51,"[3, 3, 6, 7, 6, 7, 6, 7, 6]"
少年游 ,晏殊,平平平仄仄平平。平仄仄平平。平平平仄，平平平仄，平仄仄平平。平平仄仄平平仄，平仄仄平平。仄仄平平，仄平平仄，平仄仄平平。,0,31,19,50,"[7, 5, 4, 4, 5, 7, 5, 4, 4, 5]"
少年游 ,李甲,平仄仄平平仄仄，仄仄仄平平。仄平仄仄，仄平平仄，平仄仄平平。平平仄仄平平仄，仄仄仄平平。仄平仄仄，仄平仄仄，平仄仄平平。,0,22,28,50,"[7, 5, 4, 4, 5, 7, 5, 4, 4, 5]"
少年游 ,柳永,仄平平仄仄平平。平仄仄平平。平平仄仄，仄平平仄，平仄仄平平。平平仄仄平平仄，平平仄、仄平平。仄仄平平，仄平平仄，平仄仄平平。,0,29,22,51,"[7, 5, 4, 4, 5, 7, 3, 3, 4, 4, 5]"
少年游 ,柳永,仄平平仄仄平平。平仄仄、仄平平。仄平平仄，平平平仄，平仄仄平平。平平仄仄平平仄，平平仄、仄平平。仄仄平平，仄平平仄，平仄仄平平。,0,30,22,52,"[7, 3, 3, 4, 4, 5, 7, 3, 3, 4, 4, 5]"
少年游 ,周密,平平仄仄仄平平。平仄仄平平。仄仄平平，仄平平仄，仄仄平平。仄平仄仄平平仄，平仄仄平平。平平平仄，仄平平仄，仄仄平平。,0,26,22,48,"[7, 5, 4, 4, 4, 7, 5, 4, 4, 4]"
少年游 ,杜安世,仄平平仄仄平平。平仄仄平平。平平仄仄，仄平平仄，仄仄仄平平。平平平仄平平仄，仄仄仄平平。平平平仄仄平平。仄平仄、仄平平。,0,28,22,50,"[7, 5, 4, 4, 5, 7, 5, 7, 3, 3]"
少年游 ,向子諲,仄平平仄平平仄，仄仄仄平平。平平平仄，平平仄仄，平仄仄平平。仄仄平平平仄仄，平仄仄平平。平仄平平平仄仄，平仄仄、仄平平。,0,27,23,50,"[7, 5, 4, 4, 5, 7, 5, 7, 3, 3]"
少年游 ,姜夔,平平仄仄，平平平仄，平仄仄平平。仄仄平平，平平平仄，平仄仄平平。平平仄仄平平仄，平仄仄平平。平仄平平，平平平仄，平仄仄平平。,0,32,19,51,"[4, 4, 5, 4, 4, 5, 7, 5, 4, 4, 5]"
少年游 ,韩淲,平平平仄，平平仄仄，平仄仄平平。平仄平平，仄平平仄，平仄仄平平。平平仄仄平平仄，平平仄、仄平平。仄仄平平，仄平平仄，平仄仄平平。,0,31,21,52,"[4, 4, 5, 4, 4, 5, 7, 3, 3, 4, 4, 5]"
少年游 ,晏几道,仄平平仄，平平仄仄，平仄仄平平。平平仄仄，平平平仄，平仄仄平平。平平仄仄，平平仄仄，平仄仄平平。仄仄平平，仄平平仄，平仄仄平平。,0,29,23,52,"[4, 4, 5, 4, 4, 5, 4, 4, 5, 4, 4, 5]"
少年游 ,杜安世,仄平平仄仄平平。仄仄仄平平。平平仄仄，仄平平仄，平仄仄平平。仄平平仄，平平仄仄，平仄仄平平。平平仄仄仄平平。仄仄仄、仄平平。,0,26,25,51,"[7, 5, 4, 4, 5, 4, 4, 5, 7, 3, 3]"
少年游 ,苏轼,仄平平仄，平平平仄，平仄仄平平。平平平仄，平平仄仄，平仄仄平平。仄仄仄平平平仄，平仄仄平平。仄仄平平平平仄，平平仄、仄平平。,0,30,21,51,"[4, 4, 5, 4, 4, 5, 7, 5, 7, 3, 3]"
少年游 ,晏几道,平平仄仄，平平仄仄，平仄仄平平。平平仄仄，仄平平仄，仄仄仄平平。平平仄仄，平平仄仄，平仄仄平平。平平平仄仄平平。平仄仄平平。,0,28,23,51,"[4, 4, 5, 4, 4, 5, 4, 4, 5, 7, 5]"
少年游 ,杨亿,平平仄仄，仄平平仄，平仄仄平平。平平仄仄，仄平平仄，平仄仄平平。仄平平仄，平平仄仄，仄仄仄平平。仄平平仄仄平平。仄仄仄、仄平平。,0,26,26,52,"[4, 4, 5, 4, 4, 5, 4, 4, 5, 7, 3, 3]"
少年游 ,晁补之,平平平仄，仄仄平平，平平仄仄。仄仄仄仄平仄，仄仄仄、平平仄仄。仄平平仄，仄平平仄，平平平仄。仄仄仄、仄平平仄，仄仄平仄仄。,0,20,29,49,"[4, 4, 4, 6, 3, 4, 4, 4, 4, 3, 4, 5]"
偷声木兰花 ,冯延巳,仄平仄仄平平仄。平仄平平平仄仄。平仄平平。仄仄平平仄仄平。平平平仄平平仄。平仄仄平平仄仄。仄仄平平。仄仄平平仄仄平。,0,26,24,50,"[7, 7, 4, 7, 7, 7, 4, 7]"
滴滴金 ,李遵勖,仄平仄仄仄平仄。平平仄、仄平仄。平平平仄仄平平，仄平仄平仄。平仄仄平平仄仄。平平仄、仄平仄。仄平平仄仄平平，仄仄平平仄。,0,24,26,50,"[7, 3, 3, 7, 5, 7, 3, 3, 7, 5]"
滴滴金 ,晏殊,平平仄仄平平仄。仄平平、仄平仄。仄仄平平仄平仄。仄平平平仄。平平仄仄平平仄。仄平平、仄平仄。平仄平平仄平仄。仄仄平平仄。,0,26,24,50,"[7, 3, 3, 7, 5, 7, 3, 3, 7, 5]"
滴滴金 ,杨无咎,平平仄仄平平仄。仄平仄、仄平仄。仄仄平平平仄仄。仄平平平仄。平平平仄平平仄。仄平平、仄平仄。仄仄平平仄平平，仄仄平平仄。,0,26,24,50,"[7, 3, 3, 7, 5, 7, 3, 3, 7, 5]"
滴滴金 ,孙道绚,仄平平仄平平仄。平仄仄、仄平仄。仄仄平平仄仄平，仄平平平仄。仄平仄仄平平仄。仄仄平平仄平仄。仄仄平平仄平平，仄平平平仄。,0,25,26,51,"[7, 3, 3, 7, 5, 7, 7, 7, 5]"
忆汉月 ,欧阳修,平仄仄平平仄。仄仄平平平仄。仄平平仄仄平平，仄仄仄平平仄。平平平仄仄，平仄仄、仄平平仄。仄平平仄仄平平，平仄仄平平仄。,0,25,25,50,"[6, 6, 7, 6, 5, 3, 4, 7, 6]"
忆汉月 ,柳永,平仄平仄平仄。平仄仄平平仄。仄平平仄仄平平，平仄平平平仄。仄平平仄仄，仄仄仄平平仄。平仄平平仄平仄，仄仄仄、平平平仄。,0,25,25,50,"[6, 6, 7, 6, 5, 6, 7, 3, 4]"
忆汉月 ,杜安世,平仄仄平平仄。平仄仄平平仄。平平平仄仄平平，仄平平、仄平平仄。仄平平仄仄，仄仄仄、仄平平仄。仄仄平平仄平仄。仄平平、仄平平仄。,0,26,26,52,"[6, 6, 7, 3, 4, 5, 3, 4, 7, 3, 4]"
忆汉月 ,李遵勖,平仄仄平平仄。仄仄仄平平仄。仄平仄仄仄平平，仄平平、仄平平仄。平平平仄仄。仄仄仄、仄平平仄。仄平平仄仄平平，仄仄仄、仄平平仄。,0,23,29,52,"[6, 6, 7, 3, 4, 5, 3, 4, 7, 3, 4]"
西江月 ,柳永,仄仄仄平平仄，仄平平仄平平。仄平平仄仄平平。平仄平平平仄。仄仄仄平平仄，平平平仄平平。仄平仄仄仄平平。仄仄平平仄仄。,0,26,24,50,"[6, 6, 7, 6, 6, 6, 7, 6]"
西江月 ,苏轼,仄仄平平仄仄。平平平仄平平。平平仄仄仄平平。平仄平平平仄。仄仄平平仄仄。仄平平仄平平。仄平仄仄仄平平。仄仄平平平仄。,0,27,23,50,"[6, 6, 7, 6, 6, 6, 7, 6]"
西江月 ,吴文英,平仄仄平仄仄，仄平仄仄平平。仄平仄仄仄平平。平仄平平平仄。平仄平平平仄，仄平平仄平平。仄平平仄仄平平。平仄平平平仄。,0,28,22,50,"[6, 6, 7, 6, 6, 6, 7, 6]"
西江月 ,欧阳炯,仄仄平平平仄。平平仄仄平平。仄平平仄仄平平。仄仄仄平平仄。平平仄仄平平仄。平平仄仄平平。仄平平仄仄平平。仄仄平平仄仄。,0,27,24,51,"[6, 6, 7, 6, 7, 6, 7, 6]"
西江月 ,赵以仁,仄仄平平平仄，仄平平仄平平。仄平平仄仄平平。仄仄平平、平仄仄平平。仄仄平平仄仄，仄平仄仄平平。仄平平仄仄平平。仄仄仄平、平仄仄平平。,0,29,27,56,"[6, 6, 7, 4, 5, 6, 6, 7, 4, 5]"
惜春令 ,杜安世,平仄平平平仄平。平平仄、仄仄平平。仄仄平平平仄仄，平仄仄平平。仄仄平平平。仄平仄、平仄平平。仄仄平平平仄仄，平仄仄平平。,0,28,22,50,"[7, 3, 4, 7, 5, 5, 3, 4, 7, 5]"
惜春令 ,杜安世,平仄平平平仄仄。平仄仄、仄平平平。仄平平仄平平仄，平仄仄平平。平仄平平仄。仄平仄、仄平平平。平平平仄平平仄，平仄仄平平。,0,30,20,50,"[7, 3, 4, 7, 5, 5, 3, 4, 7, 5]"
留春令 ,晏几道,仄平平仄，仄平平仄，仄平平仄。仄仄平平仄平平，仄平仄、平平仄。仄仄平平平仄仄。仄平平平仄。平仄平平仄平平，仄平仄、平平仄。,0,27,23,50,"[4, 4, 4, 7, 3, 3, 7, 5, 7, 3, 3]"
留春令 ,李之仪,仄仄平平，仄平平仄，仄平平仄。平仄平平，平平仄仄，仄仄平平仄。仄仄平平平仄仄。仄仄平平仄。平平仄仄，平平仄仄，仄仄平平仄。,0,24,26,50,"[4, 4, 4, 4, 4, 5, 7, 5, 4, 4, 5]"
留春令 ,沈端节,仄平平仄，平平平仄，平平平仄。仄仄平、仄仄仄平仄，仄仄平平仄。平平仄仄平平仄。平仄仄平平仄。仄仄平、平仄平平平仄，仄仄平平仄。,0,26,26,52,"[4, 4, 4, 3, 5, 5, 7, 6, 3, 6, 5]"
留春令 ,黄庭坚,平平仄仄平平仄。仄仄仄、仄平平仄。平平平仄仄平平，仄仄仄、平平仄。仄仄平平平平仄。平平仄、仄平平仄。仄平平仄仄平平，仄仄仄平平仄。,0,27,27,54,"[7, 3, 4, 7, 3, 3, 7, 3, 4, 7, 6]"
梁州令 ,晏几道,仄仄平平仄。仄仄平平平仄。平平仄仄仄平平，平平仄仄平平仄。平平平仄平平仄。仄仄平平仄。平平仄仄平仄。平平仄仄平平仄。,0,27,23,50,"[5, 6, 7, 7, 7, 5, 6, 7]"
梁州令 ,晁补之,仄仄平平仄。仄平平平平仄。平平平仄仄平平，平平仄仄，仄仄平平仄。平平仄仄平平仄。仄仄平平仄。平平平仄平仄。平平仄仄平平仄。,0,29,23,52,"[5, 6, 7, 4, 5, 7, 5, 6, 7]"
梁州令 ,柳永,仄仄平平仄。平平仄平平仄。平平平仄仄平平，平平仄仄，平仄平平仄。平平仄仄平平仄。仄仄平平仄。仄平平仄平平仄，仄仄平平，平仄仄平仄。,0,30,25,55,"[5, 6, 7, 4, 5, 7, 5, 7, 4, 5]"
梁州令 ,欧阳修,仄仄平平仄。仄仄平平平仄。平平平仄仄平平，仄平平仄，仄仄平平仄。仄平仄仄平平仄。仄仄平平仄。仄平平仄平仄，平平仄仄平平仄。仄仄平平仄。平平仄平平仄。平平平仄仄平平，平平仄仄，仄仄平平仄。平平仄仄平平仄。平仄平平仄。平平仄仄平仄，平平仄仄平平仄。,0,55,49,104,"[5, 6, 7, 4, 5, 7, 5, 6, 7, 5, 6, 7, 4, 5, 7, 5, 6, 7]"
盐角儿 ,晁补之,平平仄仄。仄平仄仄。平平平仄。平平仄仄，平平仄仄，仄平平仄。仄平平，平平仄。平平仄平平平仄。仄平仄、平平仄仄，平仄仄平平仄。,0,27,23,50,"[4, 4, 4, 4, 4, 4, 3, 3, 7, 3, 4, 6]"
归田乐 ,晁补之,平仄仄，仄仄平平平仄仄。平平仄，仄平仄、平仄仄。仄平平仄仄，仄平仄。仄仄仄、平平仄，平平平平仄。仄平仄、平平平仄，仄平平仄仄。,0,23,27,50,"[3, 7, 3, 3, 3, 5, 3, 3, 3, 5, 3, 4, 5]"
归田乐 ,蔡伸,平平平仄平平仄。平仄仄平平仄。仄仄仄平平，平仄平平仄平仄。平平仄仄平平仄。平仄仄平平仄。平仄仄平平，平仄仄平平平仄。,0,28,22,50,"[7, 6, 5, 7, 7, 6, 5, 7]"
归田乐 ,晏几道,仄仄平平仄。仄仄仄、仄平平仄。平仄平平仄。仄平仄仄仄，平仄平仄。仄仄平平仄平仄。平平平仄仄。仄仄仄、平平平仄仄。仄平平仄，仄仄平平仄。仄平仄仄仄，仄平平仄。平仄平平仄平仄。,0,30,41,71,"[5, 3, 4, 5, 5, 4, 7, 5, 3, 5, 4, 5, 5, 4, 7]"
归田乐 ,无名氏,仄仄平平仄。仄平平、仄平平仄。平平仄平仄。仄仄仄仄仄。仄仄平仄。仄仄平平仄平仄。平平平仄仄。仄仄仄、仄平平仄仄。仄平仄仄，仄仄平平仄。仄仄仄仄仄。仄仄平仄。平仄平平仄平仄。,0,26,45,71,"[5, 3, 4, 5, 5, 4, 7, 5, 3, 5, 4, 5, 5, 4, 7]"
归田乐 ,黄庭坚,仄仄平平仄。仄仄平、仄平仄仄，仄仄平平仄。仄仄仄仄仄。仄仄仄仄。仄仄平平仄平仄。平平仄仄仄。仄平平平平平仄。仄平平仄，平仄平平仄。仄仄仄仄仄。仄仄平仄。仄仄平平仄平仄。,0,25,45,70,"[5, 3, 4, 5, 5, 4, 7, 5, 7, 4, 5, 5, 4, 7]"
惜分飞 ,毛滂,仄仄平平平仄仄。平仄平平仄仄。仄仄平平仄。仄平平仄。平平仄。仄仄平平平仄仄。仄仄平平仄仄。平仄平平仄。仄平平仄。平平仄。,0,24,26,50,"[7, 6, 5, 4, 3, 7, 6, 5, 4, 3]"
惜分飞 ,刘弇,平仄仄平平仄仄。平仄仄、平平平仄。仄仄平平仄。仄平仄仄平平仄。仄平平仄平平仄。平仄仄、平平平仄。仄仄平平仄。仄平仄仄平平仄。,0,25,27,52,"[7, 3, 4, 5, 7, 7, 3, 4, 5, 7]"
惜分飞 ,张先,平仄平平平平仄。平仄仄、平平仄仄。平仄仄仄平仄。仄平平仄平平仄。仄仄平平平仄仄。平仄仄、平平仄仄。平仄仄仄平仄。仄平平仄平平仄。,0,26,28,54,"[7, 3, 4, 6, 7, 7, 3, 4, 6, 7]"
