词牌名,作者,韵律
满江红 ,柳永,仄仄平平，平平仄、平平仄仄。平仄仄、仄平平仄，仄平平仄。仄仄平平平仄仄，仄平平仄平平仄。仄平仄、平仄仄平平，平平仄。平平仄，平仄仄。平仄仄，平平仄。仄平平平仄，仄平平仄。平仄平平平仄仄，平平仄仄平平仄。平仄平、仄仄仄平平，平平仄。
满江红 ,张元干,平仄平平，平平仄、仄平平仄。平仄仄、仄平平仄，仄平平仄。仄仄平平平仄仄。仄平仄仄平平仄。仄仄平、平仄仄平平，平平仄。平平仄，平平仄。平仄仄，平平仄。仄平平平仄，仄平平仄。平仄平平平仄仄。仄平平仄平平仄。仄仄平、仄仄仄平平，平平仄。
满江红 ,戴复古,仄仄平平，仄平仄、仄平平仄。仄平平、平平平仄，仄平平仄。仄仄平平平仄仄，平平仄仄平平仄。仄平平、仄仄仄平平，平平仄。平仄仄。平平仄。平仄仄，平平仄。仄平平，仄仄仄平平仄。仄仄平平平仄仄，平平仄仄平平仄。仄仄平、平仄仄平平，平平仄。
满江红 ,吕渭老,仄仄平平，平仄仄、仄平平仄。仄仄平平仄，仄平平仄。平仄平平平仄仄，平平仄仄平平仄。仄仄平、平仄仄平平，平平仄。平仄仄，平平仄。平仄仄，平平仄。仄平平平仄，仄平平仄。平仄平平平仄仄，仄平平仄平平仄。仄仄平、平仄仄平平，平平仄。
满江红 ,吕渭老,仄仄平平，平平仄、平平仄仄。平平仄、仄平平仄。平仄仄平平仄仄，平平平仄平平仄。仄仄平、仄仄仄平平，平平仄。平仄仄，平平仄。平仄仄，平平仄。仄平平平仄，仄平平仄。平仄平平平仄仄，平平仄仄平平仄。仄仄平、平仄仄平平，平平仄。
满江红 ,苏轼,平仄平平，平平仄、平平平仄。仄仄仄、平平平仄，仄平平仄。平仄平平平仄仄，仄平仄仄平平仄。仄仄平、平仄仄平平，平平仄。平仄仄，平平仄。平仄仄，平平仄。平平仄仄仄，仄平平仄。平仄仄、平平平仄仄，平平仄仄平平仄。仄平平、平仄仄平平，平平仄。
满江红 ,赵鼎,仄仄平平，平平仄、平平仄仄。平仄仄、平平仄仄，仄平平仄。仄仄平平平仄仄，仄平仄仄平平仄。仄平平、仄仄仄平平，平平仄。平平仄，平仄仄。平仄仄，平平仄。平平仄平仄，仄平平仄。仄仄平平平仄仄，仄仄平仄仄平平仄。仄仄平、平仄仄平平，平平仄。
满江红 ,辛弃疾,仄仄平平，仄仄仄、平平平仄。平仄仄、仄平平平仄，仄平平仄。仄仄仄平平仄仄，平平仄仄平平仄。仄平平、仄仄仄平平，平平仄。平平仄，平平仄。平平仄，平平仄。仄仄平平仄，仄平平仄。平仄仄平平仄仄，仄平仄仄平平仄。仄平平、仄仄仄平平，平平仄。
满江红 ,柳永,仄仄平平，平平仄、平平平仄。平仄仄、仄平平仄，仄平平仄。仄仄仄、仄平平仄仄。仄平平、仄仄平平仄。仄仄仄、平仄仄平平，平平仄。平平仄，平平仄。平仄仄，平平仄。平平仄平平，仄仄平仄。仄仄仄、平平平仄仄。仄仄仄、仄仄平平仄。仄仄平、平仄仄平仄，平平仄。
满江红 ,杜衍,平仄平平，平平平仄，平平平仄。仄平平、仄平仄仄，仄平仄仄。仄仄平平平仄仄，仄平平仄平平仄。仄仄平、仄仄仄平平，平平仄。平仄仄，平平仄。平平仄，平平仄。仄平平平仄，仄平平仄。仄仄平平平仄仄，仄平平仄平仄仄。仄平平、平仄仄平平，平平仄。
满江红 ,叶梦得,仄仄平平，平平仄、平平平仄。平仄仄，平仄仄平平仄。仄仄平平平仄仄，仄平仄仄平平仄。仄仄平、平仄仄平平，平平仄。平平仄，平平仄。平仄仄，平平仄。仄平平仄仄，仄平平仄。仄仄平平平仄仄，仄平平仄平平仄。仄平平、仄仄仄平平，平平仄。
满江红 ,叶梦得,仄仄平平，平平仄、平平平仄。仄平平平仄，仄平平仄。仄仄平平平仄仄，仄平平仄平平仄。仄平平、仄仄仄平平，平平仄。平仄仄平平仄。平仄仄，平平仄。仄平平仄仄，仄平平仄。平仄仄平平仄仄，平平仄仄平平仄。仄平平、平仄仄平平，平平仄。
满江红 ,王之道,仄仄平平，平仄仄、仄平平仄。仄平平、平平平仄，仄平平仄。仄仄平平平仄仄。仄平仄仄平平仄。仄仄平平仄仄，平仄平平仄。平仄仄平平仄。平仄平仄平仄。平仄平仄。仄平平仄。平仄平平平仄仄。平平仄仄平平仄。仄平平、平平仄，平仄平平仄。
满江红 ,姜夔,平仄平平，仄仄仄、平仄仄平。平平仄、仄平平仄，平仄平平。仄仄平平平仄仄，平平平仄仄平平。仄仄平、平仄仄平平，平仄平。平平仄，平仄平。仄平仄，仄平平。仄仄平平仄，仄仄平平。平仄平平平仄仄，仄平平仄仄平平。仄仄平、平仄仄平平，平仄平。
凄凉犯 ,姜夔,仄平仄仄。平平仄、平平仄仄平仄。仄平仄仄，平平仄仄，仄平平仄。平平仄仄。仄平仄平平仄仄。仄平平、平平仄仄，平仄仄平仄。平仄平平仄，仄仄平平，仄平平仄。仄平仄仄，仄平平、仄平平仄。仄仄平平，仄平仄平平仄仄。仄平平、仄仄仄仄，仄仄仄。
凄凉犯 ,张炎,平平仄仄平平仄，平平仄仄平仄。平平仄仄，平平平仄，仄平平仄。平平仄仄。仄仄仄、平平仄仄。仄平平、仄仄平平，平仄仄平仄。仄仄平平仄，平仄平平，仄平平仄。仄平仄仄，仄平平、仄平平仄。平仄平平，仄平仄、平平仄仄。仄平仄仄平平仄，仄仄仄。
凄凉犯 ,张炎,平平仄仄平平仄，平平平、平仄平仄。平仄仄平，仄平平仄，仄平平仄。平平仄仄。仄平仄、平平仄仄。仄平平、平平平仄，仄仄仄平仄。平仄平平仄，仄仄平平，仄平平仄。平平仄仄，仄平平、仄平平仄。仄仄平平，仄平仄、平平仄仄。仄平平、平平仄仄，仄仄仄。
浣溪沙慢 ,周邦彦,仄仄仄仄仄，平仄平平仄。仄平仄仄，平仄平平仄。平仄仄仄，仄仄平平仄。平仄平平仄。平仄仄平平，仄平平、平平仄仄。仄平仄。仄仄仄平平，仄平平仄仄，平仄仄平，仄仄平平仄。仄仄仄平，平仄仄平仄。仄仄平平仄。仄仄仄平平，仄平平、平平仄仄。
四犯剪梅花 ,刘过,仄仄平平，仄平平、仄仄仄平平仄。仄仄平平，仄平平平仄。平平仄仄。仄平仄、仄平平仄。平仄平平，仄平仄仄，仄平平仄。平平仄、平平仄仄，仄平平仄仄，仄平平仄。仄仄平平，仄平平平仄。平平仄仄。仄平仄、仄平平仄。平仄平平，平平仄仄，仄平平仄。
四犯剪梅花 ,刘过,仄平平仄。仄平平、仄仄仄平平仄。仄仄平平，仄平平平仄。平平仄仄。仄平仄、仄平平仄。仄仄平平，平平仄仄，平平平仄。平平仄、仄平仄仄。仄平平仄仄，仄平平仄。平仄平平，仄平平平仄。平平仄仄。仄平仄、仄平平仄。仄仄平平，平平仄仄，仄平平仄。
四犯剪梅花 ,卢祖皋,仄平平仄。仄平平仄仄，仄平平仄。仄仄平平，仄平平平仄。平平仄仄。仄平仄、仄平平仄。仄仄平平，平平仄仄，平平平仄。平平仄平仄仄。仄平平仄仄，平仄平仄。仄仄平平，仄平平平仄。平平仄仄。仄平仄、平平平仄。仄仄平平，平平仄仄，平平平仄。
高平探芳新 ,吴文英,仄平平。仄仄平平仄，仄平平仄。仄仄平平，平仄平平平仄。平平仄，平仄仄，仄平平，平仄仄。仄平平，平平仄，仄仄平平平仄。平仄平平仄仄。仄仄仄平平，平平仄仄。仄仄平平，平仄平平平仄。平平平，平仄仄，仄平平，平仄仄。仄平平，平平仄，仄平平仄。
临江仙慢 ,柳永,仄仄仄平仄，仄平仄仄，平仄平平。仄平仄、平平仄仄平平。平平。仄平仄仄，平平仄，仄仄平平。平平仄，仄仄平平仄，平仄平平。平平。平平仄仄，平仄平仄平平。仄平平、平仄仄仄平平。平平。仄平平仄，平平仄，仄仄平平。平平仄，仄仄平平仄，平仄平平。
雪明鳷鹊夜 ,宋徽宗,仄仄平平仄，仄平平仄仄，仄仄平仄。仄平仄仄平，仄仄平仄。仄仄平平平仄平，仄仄平、仄平仄仄。仄平平，平仄平平，平仄仄仄。仄平平平仄仄，仄平仄仄平，仄仄仄仄。仄平平仄仄平平仄。仄仄平平仄仄，平仄仄、平仄平仄仄。仄平平仄仄，平平仄仄。
玉漏迟 ,宋祁,仄平平仄仄，平平仄仄，平平平仄。仄仄平平，仄仄仄平平仄。仄仄平平仄仄，仄仄仄、平平平仄。平仄仄。仄平仄仄，平平平仄。仄仄仄仄平平，仄仄仄平平，仄平平仄。仄仄平平，仄仄仄平平仄。仄仄平平仄仄，仄平仄、仄平平仄。平仄仄。平平仄平平仄。
玉漏迟 ,吴文英,仄平平仄仄。平平仄仄，仄平平仄。仄仄平平，平仄仄平平仄。仄仄平平仄仄，仄平仄、仄平平仄。平仄仄。仄平平仄，仄平平仄。仄仄仄仄平平，仄仄仄平平，仄平平仄。仄仄平平，仄仄平平平仄。平仄仄平仄仄，仄平仄、平平平仄。平仄仄。平平仄平平仄。
玉漏迟 ,张翥,仄平平仄仄。平平仄仄，平平平仄。平仄平平，平仄仄平平仄。仄仄平平仄仄，仄仄仄、平平平仄。平仄仄。平平仄仄，平平平仄。仄仄。平仄平平，仄仄仄平平，仄平平仄。仄仄平平，平仄仄平平仄。仄仄平平仄仄，仄仄仄、平平平仄。平仄仄。平仄仄平平仄。
玉漏迟 ,吴文英,仄平平仄仄，平平仄仄，仄平平仄。仄仄平平，仄仄仄平平仄。仄仄平平仄仄，仄平仄、平平平仄。平仄仄。仄平仄仄，平平仄仄。仄平仄、仄平平，仄仄仄平平，仄平平仄。仄仄平平，仄仄仄平平仄。平仄平平仄仄，仄平仄、平平平仄。平仄仄。平平仄平平仄。
玉漏迟 ,程垓,仄平平仄仄，仄平仄仄，平平平仄。仄仄平平仄仄，仄平平仄。平仄平平仄仄，仄平仄、平平平仄。平仄仄。平平仄仄，平平平仄。仄仄仄仄平平，仄平仄平平，仄平平仄。仄仄平平，仄仄仄平平仄。仄仄平平仄仄，平仄仄、平平平仄。平仄仄。平平仄仄、平平平仄。
玉漏迟 ,蒋捷,仄平平仄仄。平平仄仄，平平平仄。平仄仄平，仄仄平平平仄。仄仄平平仄仄，仄仄仄、平平平仄。平仄仄。平平仄仄，平平平仄。仄仄仄仄平平，仄仄仄平平，仄平平仄。平仄平平，仄仄平平平仄。仄仄平平仄仄，仄仄平平平仄。平仄仄。平平仄平平仄。
玉漏迟 ,滕宾,仄平平仄仄。平平仄仄平平仄。平仄平平，仄仄仄平平仄。仄仄平平仄仄，仄仄仄、平平平仄。平仄仄。平平仄仄，平平平仄。仄仄平仄平平，仄平仄、平平仄。仄仄平平，平仄仄平平仄。仄仄平平仄仄，仄仄仄、平平平仄。平仄仄。平仄仄平平仄。
尾犯 ,柳永,仄仄仄平平，平仄仄平，平仄平仄。仄仄平平，仄平平平仄。平仄仄、平平仄仄，仄平平、平平仄仄。仄平平仄，仄仄平平，仄仄平平仄。平平平仄仄，仄仄仄仄平仄。仄仄平平，仄平平平仄。仄平仄、平平平仄，仄平平、平平仄仄。仄平平仄，仄仄平仄平平仄。
尾犯 ,蒋捷,仄仄仄平平，平仄仄平，平仄平仄。平仄平平，仄平平平仄。平仄仄、平平仄仄，仄平平、平平仄仄。仄平平仄，仄仄平平，仄仄平平仄。平平平仄仄，仄仄仄、仄仄平仄。仄仄平平，仄平平平仄。仄平仄、平平平仄，仄平平、平平仄仄。仄平平仄，仄平仄、平平仄仄。
尾犯 ,柳永,平平仄仄。仄平平平仄，仄平平仄。仄平平仄，平平仄仄，平平平仄。仄平仄仄，仄仄仄、平平仄。仄平平、仄仄平平，仄平平仄平仄。仄仄平平平仄。仄平平，仄仄仄。平仄平平仄，仄仄平平，平平平仄。仄仄平平仄。平仄仄、仄平平仄。平仄仄、仄仄平平，仄平平仄平仄。
尾犯 ,晁补之,平平仄仄。仄平平平仄，仄平平仄。仄平平仄平平，平仄平平平仄。平平仄仄，仄仄仄、平平仄。仄平平、平仄平平，仄仄平、仄平平仄。仄仄平平平仄。仄平平，平仄仄。平仄平平仄，仄仄平平，平平平仄。平仄平平仄。平仄仄、仄平平仄。仄仄仄、平仄平平，仄平平仄平仄。
尾犯 ,无名氏,平平仄仄。仄平平平仄，仄平仄仄。仄平仄仄，平平平仄，仄平平仄。平平仄仄。平仄仄、仄平平仄。仄平平、仄仄平平，仄平仄仄平仄。仄仄平平平仄。仄仄平、平平仄仄。平仄平平仄，仄平平仄，平平仄仄。仄仄平平仄。平仄仄、仄平平仄。平仄仄、平仄平平，仄平仄仄平仄。
驻马听 ,柳永,仄仄平平。仄平仄、平平仄仄平平。平平仄仄，平平平仄，平平仄仄平平。仄平平。仄仄平、仄仄平平。平仄平平，仄平平仄，仄仄平平。平平仄平仄仄，仄仄平仄平平。仄仄仄平平仄，平仄平平。仄仄平平仄仄，平仄平仄平平。仄仄仄，仄仄平平，平仄平平。
雪梅香 ,柳永,仄平仄，平平仄仄仄平平。仄平平平仄，平平仄仄平平。平仄平平仄平仄，仄平平仄仄平平。仄平仄，仄仄平平，平仄平平。平平。仄平仄，仄仄平平，仄仄平平。仄仄平平，仄平仄仄平平。仄仄平平仄平仄，仄平平仄仄平平。平平仄，仄仄平平，平仄平平。
雪梅香 ,无名氏,仄平仄，平平平仄仄平平。仄平平平仄，仄平仄仄平平。平仄仄平仄平仄，仄平平仄仄平平。平平仄，仄仄平平，仄仄平平。平平仄平仄，仄仄平平，仄仄平平。平仄平平，仄平仄仄平平。平仄平平仄平仄，仄平平仄仄平平。平平仄，仄仄平平，仄仄平平。
六幺令 ,柳永,仄平平仄，平仄平平仄。平平仄平平仄，平仄仄平仄。仄仄平平仄仄，仄仄平平仄。平平平仄。平平仄仄，仄仄仄平仄平仄。仄仄平平平仄，平仄平平仄。平仄平仄平平，仄仄平仄仄。平仄平平仄仄，仄仄平平仄。仄平平仄。平平仄仄，仄仄仄平仄平仄。
六幺令 ,贺铸,仄平平仄，平仄仄平仄。平平仄仄仄仄，仄仄平平仄。平仄平平仄仄。仄仄平平仄。平平平仄。平平仄仄，平仄平平仄平仄。平仄平平仄仄。仄仄平平仄。平仄平仄平平，仄仄平平仄。平仄平平仄仄。平仄平平仄。平平平仄。仄平平仄，平仄平平仄平仄。
六幺令 ,陈允平,仄平平仄，平仄仄平仄。平平仄平平仄，仄仄平平仄。平仄平平仄仄，仄仄平平仄。仄平平仄。平平仄仄，平仄平平仄平仄。仄平平仄仄仄，仄仄平平仄。平仄仄、仄平平，仄仄平平仄。平仄平平仄仄，仄仄平平仄。平平平仄。平平平仄，仄仄平平仄平仄。
保寿乐 ,曹勛,平仄仄平平仄，仄仄平平平仄仄。仄仄仄平平，仄仄平平，仄平平仄。仄仄平平，仄平平仄仄，平平仄平平仄。仄仄仄平仄，仄仄平仄。仄平平平平仄。仄仄仄、平平平仄。平平仄平仄，平仄仄，仄平仄。平仄仄仄仄，平平仄平平仄。仄仄仄平仄，平平仄仄。
惜秋华 ,吴文英,仄仄平平，仄平平、仄仄平平平仄。仄仄仄平，平平仄平平仄。平平仄仄平平，仄仄仄平平平仄。平仄。仄平平、仄平平平仄仄。仄仄仄平仄。仄平平平仄，仄仄平平仄。平仄仄、仄仄仄，仄平平仄。平平仄仄平平，仄仄平、仄平平仄。平仄。仄平平、仄平平仄。
惜秋华 ,吴文英,仄仄平平，仄仄平仄仄，平平平仄。仄仄仄平，平平仄平平仄。平平仄仄平平，仄仄仄平平平仄。平平。仄平平仄仄，平平平仄。平仄仄平仄。仄仄平仄仄，平平平仄。仄仄仄平，平仄仄平平仄。平平仄仄仄平，仄仄仄、仄平平仄。平仄。仄平平、平平仄仄。
惜秋华 ,吴文英,仄仄平平，仄平平、仄仄平平平仄。仄仄仄平，平平仄平平仄。平平仄仄平平，仄仄仄、平平平仄。平平，仄平平、仄仄平平平仄。平仄仄平仄。仄平平仄仄，平平平仄。仄仄仄、平仄仄，仄平平仄。平平仄仄平平，仄仄平、仄平平仄。平仄。仄平平、仄平平仄。
惜秋华 ,吴文英,仄仄平平，仄平平仄仄，平平平仄。平仄仄平，平平仄平平仄。平平仄仄平平，仄仄仄、平平平仄。平平，仄平平仄仄，平平平仄。仄仄仄平仄。仄平平仄仄，仄平平仄。仄仄仄仄，仄仄仄平仄仄。平平仄仄平平，仄仄仄平平平仄。平仄。仄仄平、仄平平仄。
惜秋华 ,吴文英,仄仄平平，仄平平仄仄，平平平仄。平仄仄平，平平仄平平仄。平平仄仄平平，仄平仄、平平仄仄。平平，仄平平、仄仄平平平仄。平仄仄平仄。仄仄仄平平，仄平平仄。仄平仄、仄仄仄，仄平平仄。平平仄仄平平，仄仄平、仄平平仄。平仄。仄平平、仄平平仄。
古香慢 ,吴文英,仄平仄仄，平仄平平，平仄平仄。仄仄平平，仄仄仄平仄仄。平仄仄平平，仄平仄、平平仄仄。仄平平仄仄仄仄，仄平仄仄平仄。仄仄仄、平平平仄。平仄平平，平仄平仄。仄仄平平，仄仄仄平平仄。仄仄仄平平，仄平仄、平平仄仄。仄平平，仄平仄、仄平平仄。
芙蓉月 ,赵以夫,平仄仄平仄，平仄仄、仄仄平平平仄。平平仄仄，仄仄平平平仄。平仄平平平仄，仄仄仄平平仄。平仄仄，仄平平，仄仄仄平平仄。平平仄平仄。仄平平仄仄，平仄平仄。平平仄仄，平仄平平平仄。仄仄平平平仄，仄平仄。平平仄。平仄仄，仄平平，仄平平仄。
一枝春 ,杨缵,仄仄平平，仄平平、仄仄平平平仄。平平仄仄，仄仄仄平平仄。平平仄仄，仄平仄、仄平平仄。平仄仄、平仄平平，仄平仄平平仄。平平仄平仄仄。仄平平、仄仄平平平仄。平平仄仄，平仄仄平平仄。平平仄仄，仄平仄仄平平仄。平仄仄、仄仄平平，仄平仄仄。
一枝春 ,张炎,仄仄平平，仄平平仄仄，平平仄仄。平平仄仄，仄仄仄平平仄。平平仄仄，仄平仄、仄平平仄。平仄仄。平仄平平，仄仄仄平平仄。平仄仄平平仄。仄平平仄仄，平仄平仄。平平仄仄，仄仄仄平仄仄。平平仄仄，仄平仄、仄平平仄。平仄平、仄仄平平，仄平仄仄。
梅子黄时雨 ,张炎,平仄平平，仄平仄仄平，平仄平仄。仄仄仄平平，仄平平仄。平仄平平平仄仄，仄平仄仄平平仄。平平仄。仄仄仄平，平仄平仄。平仄。平平平仄。仄平平仄仄，平仄平仄。仄仄仄平平，平平平仄。平仄平平平仄仄，仄平平仄平平仄。平平仄。仄平仄平平仄。
如鱼水 ,柳永,平仄平平，仄平仄仄，仄仄仄仄平平。仄仄平平。平平平仄平平。仄平平。平平仄、平仄平平。仄仄仄、平仄平平，仄平平仄仄平平。平仄仄，仄平平。平仄仄仄平平。仄仄平平。平平平仄平平。仄平平。平仄仄、仄仄平平。仄平仄、仄仄平平仄仄，仄仄仄平平。
赏松菊 ,曹勛,平平仄仄平平仄，仄仄仄平平仄。仄平仄仄，仄平平平仄。仄仄平平仄仄，仄平仄、平平仄仄。仄平平，仄平平仄仄，仄平平仄。仄仄平平仄仄。仄平平、仄平平平仄。仄仄仄平仄，仄平平平仄。仄仄平平仄仄，仄平仄、平平仄仄。仄平平，仄平平，平仄仄仄。
二色莲 ,曹勛,仄仄仄仄，平仄平仄，平仄平仄。仄平仄仄，平仄仄平平仄。仄仄平平仄仄，仄仄仄、平平平仄。平仄仄平平仄，平平仄平平仄。平平仄平仄，仄仄平平仄。平仄平仄仄。仄平仄仄，平仄仄平平仄。仄仄平平仄仄，仄仄仄、平平平仄。平仄仄，平平仄，平平仄仄。
塞孤 ,柳永,仄平平，仄仄平平仄。仄仄平平平仄。仄仄仄平平仄仄。平仄仄，平平仄。平平仄、仄平平，平仄仄、平平仄。仄平平仄，平仄平仄。平仄仄仄平，仄仄平平仄。仄仄平平平仄。仄仄平平平仄仄。平仄仄，平平仄。平仄仄、仄平平，平仄仄、平平仄。仄平平、仄仄平仄。
塞孤 ,朱雍,仄平平，仄仄平平仄。仄仄平平平仄。仄仄平平平仄仄。平仄仄，平平仄。平平仄、仄平平，平仄仄、平平仄。仄平平、仄仄平仄。平仄仄仄平，仄仄平平仄。仄仄平平平仄。平仄平平平仄仄。仄仄平平仄。平仄仄、仄平平，平仄仄、平平仄。仄平平、仄仄平仄。
水调歌头 ,毛滂,仄平平仄仄，仄仄仄平平。平平平仄，平仄平仄仄平平。仄仄平平平仄，仄仄仄平平仄，仄仄仄平平。平平仄平仄，仄仄仄平平。平平仄，平平仄，仄平平。平平仄仄，平仄仄仄仄平平。平仄平平仄仄，平仄平平仄仄，平仄仄平平。仄仄平平仄，仄仄仄平平。
水调歌头 ,周紫芝,仄仄仄平仄，平仄仄平平。仄平平仄平仄，平仄仄平平。仄仄平平仄仄，仄仄平平仄仄，平仄仄平平。平仄平平仄，平仄仄平平。平仄仄，仄平仄，仄平平。仄平仄仄平仄，平仄仄平平。平仄平平平仄，平仄平平平仄，平仄仄平平。仄仄平平仄，平仄仄平平。
水调歌头 ,苏轼,平仄仄平仄，仄仄仄平平。仄平平仄平仄，平仄仄平平。仄仄平平平仄。仄仄平平仄仄。平仄仄平平。仄仄仄平仄，平仄仄平平。仄平仄，平仄仄，仄平平。仄平仄仄，平仄平仄仄平平。平仄平平平仄。仄仄平平平仄。仄仄仄平平。仄仄平平仄，平仄仄平平。
水调歌头 ,贺铸,平仄仄平仄。仄仄仄平平。平平平仄。仄平平仄仄平平。平仄平平平仄。仄仄平平平仄。平仄仄平平。平仄平平仄。仄仄仄平平。仄平平，平仄仄。仄平平。仄平平仄。平平平仄仄平平。平仄平平仄仄。平仄平平平仄。平仄仄平平。平仄平平仄。平仄仄平平。
水调歌头 ,王之道,平平平仄仄，仄仄仄平平。仄平平仄，仄平平仄，仄仄仄平平。平仄仄平平仄，仄仄平平仄仄，平仄仄平平。平仄仄平仄，平仄仄平平。仄平仄，平仄仄，仄平平。仄平平仄，仄仄平仄仄平平。仄仄平平仄仄，仄仄平平仄仄，仄仄仄平平。仄仄平平仄，平仄仄平平。
水调歌头 ,张孝祥,仄仄仄平仄，平仄仄平平。平平仄仄平仄，平仄仄平平。平仄平平平仄，平仄平平平仄，仄仄仄平平。仄仄平平仄，仄仄仄平平。仄平平，平仄仄，仄平平。仄平平仄，平平平仄，平仄仄平平。仄仄平平仄仄，平仄平平平仄，仄仄仄平平。仄仄平平仄，仄仄仄平平。
水调歌头 ,刘因,仄仄仄平仄，仄仄仄平平。平平仄仄平仄，平仄仄平平。平仄平平平仄，平仄平平仄仄，平仄仄平平。平仄仄平仄，平仄仄平平。平平仄，平仄仄，仄平平。仄平平仄仄仄，平仄仄，仄平平。平仄平平仄仄，平仄平平平仄，仄仄仄平平。平仄仄平仄，仄仄仄平平。
水调歌头 ,傅公谋,仄仄平平仄，仄仄仄平平。仄平平仄，仄平平仄仄平平。仄仄平平平仄，仄仄仄平平仄，仄仄仄平平。平仄平平仄，平仄仄平平。平平平平仄，仄平平。仄平仄仄，平仄仄仄仄平平。仄仄仄平平仄，仄仄仄平平仄，仄仄仄平平。平仄平平仄，平仄仄平平。
扫地游 ,周邦彦,仄平仄仄，仄仄仄平平，仄平平仄。仄平仄仄。仄平平仄仄，仄平仄仄。仄仄平平，仄仄平平仄仄。仄平仄。仄仄仄仄平，平仄平仄。平仄平仄仄。仄仄仄平平，仄平平仄。仄平仄仄。仄平平仄仄，仄平平仄。仄仄平平，仄仄平平仄仄。仄平仄。仄平平、仄平平仄。
扫地游 ,杨无咎,仄平仄仄。仄仄仄平平，仄平平仄。仄平仄仄。仄平平仄仄，仄平平仄。仄仄平平，仄仄平平仄仄。仄平仄。仄仄仄仄平，平仄平仄。平仄平仄仄。仄仄仄平平，仄平平仄。仄平仄仄。仄平平仄仄，仄平平仄。仄仄平平，仄仄平平仄仄。仄平仄。仄平平、仄平平仄。
扫地游 ,王沂孙,仄平仄仄，仄仄仄平平，仄平平仄。仄平仄仄。仄平平仄仄，仄平平仄。仄仄平平，仄仄平平仄仄。仄平仄。仄仄仄平，平仄平仄。平仄平仄仄。仄仄仄平平，仄平平仄。仄平仄仄。仄平平仄仄，仄平平仄。仄仄平平，仄仄平平仄仄。仄平仄。仄平平、仄平平仄。
满庭芳 ,晏几道,平仄平平，平平平仄，仄平平仄平平。平平平仄，平仄仄平平。仄仄平平仄仄，仄平仄、平仄平平。仄平仄，仄平仄仄，仄仄仄平平。平平平仄仄，平平仄仄，仄仄平平。仄平仄，平平仄仄平平。仄仄平平仄仄，平平仄、仄仄平平。平平仄，平平仄仄，平仄仄平平。
满庭芳 ,周邦彦,平仄平平，仄平平仄，仄平平仄平平。仄平平仄，平仄仄平平。平仄平平仄仄，仄平仄、平仄平平。平平仄，平平仄仄，仄仄仄平平。平平。平仄仄，平平仄仄，平仄平平。仄仄平平仄，平仄平平。平仄平平仄仄，仄平仄、仄仄平平。平平仄，平平仄仄，平仄仄平平。
满庭芳 ,黄公度,仄仄平平，平平仄仄，仄平仄仄平平。仄平平仄，平仄仄平平。仄仄平平仄仄，平平仄仄平平。平平仄，平平仄仄，仄仄仄平平。平平。平仄仄，平平仄仄，平仄平平。仄平平，仄平平仄平平。仄仄平平仄仄，平平仄仄平平。平平仄，平平仄仄，仄仄仄平平。
满庭芳 ,程垓,平仄平平，平平仄仄，仄平仄、平仄平平。仄平平仄，平仄仄平平。仄仄平平仄仄，仄仄仄、平仄平平。平平仄，平平仄仄，仄仄仄平平。平平平仄仄，平平仄仄，平仄平平。仄仄平平仄，平仄平平。仄仄平平仄仄，平仄仄、仄仄平平。平平仄，仄平仄仄，平仄仄平平。
满庭芳 ,赵长卿,平仄平平，平平平仄，仄平仄仄平平。平平平仄，仄仄仄平平。平仄仄、平平仄仄，平仄仄、平仄平平。平平仄，平平仄仄，仄仄仄平平。平平平仄仄，仄平仄仄，平仄平平。仄平平仄，仄仄平平。平仄仄、平平仄仄，平仄仄、平仄平平。平平仄，平平仄仄，平仄仄平平。
满庭芳 ,元好问,平仄平平，仄平平仄，仄平仄仄平平。平平仄仄，平仄仄平平。平仄仄平平仄，仄仄仄、仄仄平平。平平仄，平平仄仄，平仄仄平平。平平平仄仄，仄平仄仄，仄仄平平。平平仄仄，平仄仄平平。仄仄平平仄仄，平平仄、仄仄平平。平平仄仄，平平仄仄，平仄仄平平。
满庭芳 ,无名氏,平仄平平，平平平仄，仄平平仄平仄。仄平仄仄，仄仄仄平仄。仄仄平平仄仄，仄仄仄、平平平仄。平平仄，平平平仄，平仄仄平仄。平平平仄仄，平仄仄、仄仄平仄平仄。仄仄平平仄，平仄平仄。仄仄平平仄仄，平平仄、仄平平仄。平平仄，平平仄仄，平仄仄平仄。
白雪 ,杨无咎,平平仄仄，平仄仄、平平仄仄平平。平仄仄平，平平仄仄，平平仄仄平平。仄平平。仄平仄、仄仄平平。仄平仄、仄平平仄，仄仄仄平平。平仄仄仄仄平，平平仄仄，仄平平。仄仄仄平平仄，平仄仄平平。平仄仄、仄平平仄，仄仄仄平平。仄平平仄，平平仄仄平平。
徵招 ,赵以夫,仄平仄仄平平仄，平平仄平平仄。仄仄仄平平，仄平平平仄。仄平平仄仄。仄平仄、仄平平仄。仄仄平平，仄平平仄，仄平平仄。平仄仄平平，平平仄、平平仄平平仄。仄仄仄平平，仄平平仄仄。仄平平仄仄。仄平仄、仄平平仄。仄平仄、仄仄仄平，仄仄平平仄。
