词牌名,作者,韵律
天净沙 ,乔吉,仄平平仄平平。仄平平仄平平。仄仄平平仄平。平平平仄。仄平平仄平平。
天净沙 ,马致远,平平仄仄平平。仄平平仄平平。仄仄平平仄仄。仄平平仄。仄平平仄平平。
甘州曲 ,王衍,仄平平。平仄仄，仄平平。仄平平仄仄平平。仄仄仄平平。仄仄仄、平仄仄平平。
甘州曲 ,顾夐,仄平平仄仄平平。平仄仄，仄平平。仄平平仄仄平平。平仄仄平平。平仄仄、平仄仄平平。
醉吟商 ,姜夔,仄仄平平，仄仄仄平平仄。仄平平仄。仄仄平平仄。仄仄平平平仄。平平仄仄。
乾荷叶 ,刘秉忠,平平仄，仄平平。仄仄平平仄。仄平平。仄平平。平平仄仄仄平平。仄仄平平仄。
乾荷叶 ,刘秉忠,平平仄，仄平平。仄仄平平仄。仄平平。仄平平。仄平平仄仄平平。平仄仄、平平仄。
喜春来 ,张雨,仄平仄仄平平仄。仄仄平平仄仄平。仄平平仄仄平平。仄仄平。平仄仄平平。
喜春来 ,周德清,平平仄仄平平仄。仄仄平平仄仄平。仄平仄仄仄平平。平仄仄。平仄仄平平。
喜春来 ,司马九皋,仄平仄仄平平仄。平仄平平仄仄平。仄平平仄仄平平。平仄仄。平仄仄，仄平平。
喜春来 ,无名氏,仄平仄仄平平仄。平仄平平仄仄平。仄平平，平仄仄，仄平平。平仄平。平仄仄平平。
踏歌词 ,崔液,仄仄平平仄，平平仄仄平。平平平仄仄，仄仄仄平平。平仄仄平平。仄仄仄平平。
秋风清 ,李白,平平平。平仄平。仄仄仄平仄，平平平仄平。平平平仄平平仄，仄平仄仄平平平。
秋风清 ,寇准,平仄仄，仄平平。平平平仄仄，平仄仄平平。平平平仄平平仄，平仄平平平仄平。
秋风清 ,刘长卿,平平仄。平平仄。仄平仄仄平，平仄平平仄。平仄平平仄仄平，仄平平仄平平仄。
抛毬乐 ,刘禹锡,仄仄仄平平。平平仄仄平。仄平平仄仄，平仄仄平平。仄仄平平仄，平平仄仄平。
抛毬乐 ,皇甫松,平仄平平仄，平平仄仄平。仄仄平。仄平平仄仄，平仄仄平平。仄仄平平仄，平平仄仄平。
抛毬乐 ,冯延巳,平仄平平仄仄平。仄平平仄仄平平。仄平平仄平平仄，平仄平平仄仄平。仄仄平平仄，平仄平平仄仄平。
抛毬乐 ,柳永,仄平平仄平仄，平仄平仄。仄平平、平仄仄仄，平仄平平，仄平平仄。仄仄仄、平仄平平，仄仄仄、平平平仄。仄仄仄仄平平，仄仄平平，平仄平平仄。仄仄平平仄，平平仄仄，仄平平仄，平平仄仄。仄仄仄平平，仄仄仄、平平平平仄。仄平平平仄，平仄仄平，仄平仄仄。仄仄平仄平平，仄平仄、仄仄平平仄。仄平平，平仄仄，仄仄平平仄仄。仄平仄仄，平仄平平平仄。仄平仄仄，仄平仄仄，仄仄平仄平平仄。仄仄平仄仄，平平仄仄仄平，仄仄平平仄仄。平仄仄平平，仄仄仄、仄仄平平仄。仄仄仄仄平，仄平平仄。
法驾导引 ,陈与义,平平仄，平平仄，平仄仄平平。平仄仄平平仄仄，平平平仄仄平平。平仄仄平平。
蕃女怨 ,温庭筠,仄平平仄平仄仄。仄仄平仄。仄平平，平仄仄。仄平平仄。仄平平仄仄平平。仄平平。
一叶落 ,后唐庄宗,仄仄仄。平平仄。仄平仄仄仄平仄。仄平仄仄平，平平平平仄。平平仄。仄仄平平仄。
忆王孙 ,李重元,平平平仄仄平平。仄仄平平平仄平。仄仄平平仄仄平。仄平平。仄仄平平平仄平。
忆王孙 ,白朴,平平仄仄仄平平。平仄平平仄仄平。平仄仄平仄仄仄。仄平平。平仄平平平仄仄。
忆王孙 ,无名氏,平仄平平平仄仄。平仄仄、平平平仄。仄平平仄仄平平，仄仄仄、平平仄。平仄仄平平仄仄。平仄仄、平平平仄。平平平仄仄平平，仄平仄、平平仄。
金字经 ,张可久,仄仄平平仄，仄平平仄平。平仄平平仄仄平。平。仄平平仄平。平平仄。仄平平仄平。
金字经 ,《太平乐府》徐失名,平仄平平仄，仄平平仄平。平仄平平平仄平。平。仄平仄仄平。平平仄。仄仄仄、平仄平。
金字经 ,《太平乐府》徐失名,仄仄平仄仄，仄平平仄平。仄仄仄、仄平平仄仄。平。仄平平、平仄平。平平仄。仄平平、平仄平。
调笑令 ,王建,平仄。平仄。平平平平仄仄。平平仄仄平平。仄仄平平仄平。平仄。平仄。仄仄平平仄仄。
遐方怨 ,温庭筠,平仄仄，仄平平。仄仄平平，仄平平平平仄平。仄平平仄仄平平。仄平平仄仄，仄平平。
遐方怨 ,孙光宪,平仄仄，仄平平。仄仄平平仄，平平仄仄平。仄平仄仄仄平平。仄平平仄仄平平。平仄仄，仄平平。仄仄平平仄，平平仄仄平。仄平平仄仄平平。仄平平仄仄平平。
后庭花破子 ,王恽,仄仄仄平平。平平仄仄平。仄仄平平仄，平平仄仄平。仄平平。仄平仄仄，平平平仄平。
后庭花破子 ,赵孟頫,平平仄仄平。平平仄仄平。仄平平平仄，平平仄仄平。仄平平。仄平平仄，仄平仄、平仄平。
如梦令 ,后唐庄宗,平仄平平平仄。仄仄仄平平仄。平仄仄平平，平仄仄平平仄。平仄。平仄。平仄仄平平仄。
如梦令 ,无名氏,仄仄仄平平仄。仄仄平平仄仄。仄仄仄平平，仄仄平平平仄。平仄。仄仄。平仄仄平平仄。
如梦令 ,无名氏,平仄仄平平仄。平仄平平仄仄。平仄仄平平，平仄仄平平仄。平仄。平仄。仄仄仄平平仄。
如梦令 ,无名氏,仄仄平平平仄。仄仄仄平仄仄。平仄仄平平，仄仄平平仄仄。平平仄仄。平仄平平平仄。
如梦令 ,吴文英,平平平仄仄平。平平仄仄平平。平仄仄平仄，仄平仄仄平平。平平。平平。仄仄仄仄平平。
如梦令 ,魏泰,平仄仄平仄仄。仄仄平平平仄。平仄仄平平，平仄仄平平仄。平仄。平仄。平仄平平仄仄。仄仄平平仄仄。平仄平平平仄。平仄仄平平，仄仄仄平仄仄。平仄。平仄。平仄仄平仄仄。
诉衷情 ,温庭筠,平仄。平仄。平仄仄。仄平平。平仄仄。平仄。仄平平。仄仄仄平平。平平。平平平仄平。仄平平。
诉衷情 ,韦庄,仄仄平平平仄仄，仄平平。平仄仄。平仄。仄平平。平仄仄平平。平平。仄平平仄平。仄平平。
诉衷情 ,顾夐,仄仄平平平仄仄，仄平平。平仄仄。平仄。仄平平。平仄仄平平。仄平平。仄仄平、平仄平。仄平平仄平。
诉衷情 ,毛文锡,平平平仄仄平平。平仄仄平平。平平仄，仄平平。平仄仄平平。平仄仄平平。仄平平。平平平仄仄平平。仄平平。
诉衷情 ,魏承班,平平平仄仄平平。平平仄仄平。平仄仄，仄平平。平仄仄平平。仄仄仄平平。仄平平。平平仄仄平平仄，仄平平。
西溪子 ,牛峤,仄仄平平平仄。平仄仄平平仄。仄平平，平仄仄。平仄仄。平仄平平仄仄。仄平平。仄平平。
西溪子 ,毛文锡,仄仄平平平仄。平仄平平平仄。仄平平，平平仄。平平仄。平仄仄平平仄。仄仄仄平平。仄平平。
天仙子 ,皇甫松,平仄仄平平仄仄。仄平平仄平平仄。平平仄仄仄平平，平仄仄。仄平仄。仄仄仄平平仄仄。
天仙子 ,和凝,仄仄平平平仄仄。平仄平平平仄仄。仄平平仄仄平平，仄平平，平仄仄。平仄平平平仄仄。
天仙子 ,韦庄,平仄平平平仄仄。平仄平平平仄仄。平平仄仄仄平平。平仄仄，仄平平。平仄平平平仄平。
天仙子 ,韦庄,仄仄平平仄仄平。平平仄仄仄平平。仄平平仄仄平平。平仄仄，仄平平。平仄平平仄仄平。
天仙子 ,张先,仄仄平平平仄仄。仄仄平平平仄仄。仄平平仄仄平平，平仄仄。平平仄。平仄平平平仄仄。平仄仄平平仄仄。仄仄仄平平仄仄。仄平平仄仄平平，平仄仄。平平仄。平仄仄平平仄仄。
